units: volts, uamps, V/I (relative delay)
0.140000, 0.00389800, 35.9158542842
0.141000, 0.00402200, 35.0571854799
0.142000, 0.00415000, 34.2168674699
0.143000, 0.00428200, 33.3956095283
0.144000, 0.00441800, 32.5939339067
0.145000, 0.00455800, 31.8121983326
0.146000, 0.00470200, 31.0506167588
0.147000, 0.00485100, 30.303030303
0.148000, 0.00500500, 29.5704295704
0.149000, 0.00516300, 28.8591903932
0.150000, 0.00532600, 28.163725122
0.151000, 0.00549400, 27.4845285766
0.152000, 0.00566700, 26.8219516499
0.153000, 0.00584600, 26.1717413616
0.154000, 0.00603000, 25.5389718076
0.155000, 0.00621900, 24.923621161
0.156000, 0.00641500, 24.3180046765
0.157000, 0.00661600, 23.7303506651
0.158000, 0.00682300, 23.1569690752
0.159000, 0.00703700, 22.5948557624
0.160000, 0.00725800, 22.0446403968
0.161000, 0.00748500, 21.5096860387
0.162000, 0.00771900, 20.9871745045
0.163000, 0.00796000, 20.4773869347
0.164000, 0.00820800, 19.9805068226
0.165000, 0.00846400, 19.4943289225
0.166000, 0.00872800, 19.019248396
0.167000, 0.00899900, 18.5576175131
0.168000, 0.00927900, 18.1053992887
0.169000, 0.00956700, 17.6648897251
0.170000, 0.00986400, 17.2343876723
0.171000, 0.01017000, 16.814159292
0.172000, 0.01048500, 16.4043872198
0.173000, 0.01080900, 16.0051808678
0.174000, 0.01114300, 15.6151844207
0.175000, 0.01148700, 15.2346130408
0.176000, 0.01184200, 14.862354332
0.177000, 0.01220700, 14.4998771197
0.178000, 0.01258300, 14.1460700946
0.179000, 0.01297000, 13.801079414
0.180000, 0.01336800, 13.4649910233
0.181000, 0.01377900, 13.1359314899
0.182000, 0.01420100, 12.8159988733
0.183000, 0.01463600, 12.5034162339
0.184000, 0.01508400, 12.1983558738
0.185000, 0.01554500, 11.9009327758
0.186000, 0.01602000, 11.6104868914
0.187000, 0.01650900, 11.3271548852
0.188000, 0.01701200, 11.0510228074
0.189000, 0.01753000, 10.7815173987
0.190000, 0.01806300, 10.5187399657
0.191000, 0.01861200, 10.2621964324
0.192000, 0.01917600, 10.0125156446
0.193000, 0.01975800, 9.76819516145
0.194000, 0.02035600, 9.53035959914
0.195000, 0.02097100, 9.29855514758
0.196000, 0.02160500, 9.07197408007
0.197000, 0.02225700, 8.85114795345
0.198000, 0.02292800, 8.63572923936
0.199000, 0.02361800, 8.42577694978
0.200000, 0.02432900, 8.22064203214
0.201000, 0.02505900, 8.02107027415
0.202000, 0.02581100, 7.82612064624
0.203000, 0.02658500, 7.6358848975
0.204000, 0.02738100, 7.45042182535
0.205000, 0.02820000, 7.2695035461
0.206000, 0.02904200, 7.09317540114
0.207000, 0.02990800, 6.92122509028
0.208000, 0.03080000, 6.75324675325
0.209000, 0.03171600, 6.58973388826
0.210000, 0.03265900, 6.4300805291
0.211000, 0.03362900, 6.27434654614
0.212000, 0.03462600, 6.12256685727
0.213000, 0.03565200, 5.97441938741
0.214000, 0.03670700, 5.8299506906
0.215000, 0.03779100, 5.68918525575
0.216000, 0.03890700, 5.55170020819
0.217000, 0.04005300, 5.41782138666
0.218000, 0.04123300, 5.28702738098
0.219000, 0.04244500, 5.1596183296
0.220000, 0.04369200, 5.03524672709
0.221000, 0.04497300, 4.91405954684
0.222000, 0.04629100, 4.79574863364
0.223000, 0.04764500, 4.68044915521
0.224000, 0.04903700, 4.56797928095
0.225000, 0.05046800, 4.4582705873
0.226000, 0.05193900, 4.35125820674
0.227000, 0.05345100, 4.24688032029
0.228000, 0.05500500, 4.14507772021
0.229000, 0.05660200, 4.04579343486
0.230000, 0.05824300, 3.9489724087
0.231000, 0.05993000, 3.85449691307
0.232000, 0.06166300, 3.76238587159
0.233000, 0.06344500, 3.67247222003
0.234000, 0.06527500, 3.58483339717
0.235000, 0.06715500, 3.49936713573
0.236000, 0.06908700, 3.41598274639
0.237000, 0.07107200, 3.33464655561
0.238000, 0.07311200, 3.25527957107
0.239000, 0.07520700, 3.1778956746
0.240000, 0.07735900, 3.10241859383
0.241000, 0.07957000, 3.02877969084
0.242000, 0.08184000, 2.95698924731
0.243000, 0.08417300, 2.88691147993
0.244000, 0.08656900, 2.81856091673
0.245000, 0.08902900, 2.75191229824
0.246000, 0.09155600, 2.68688016078
0.247000, 0.09415100, 2.62344531657
0.248000, 0.09681500, 2.56158653101
0.249000, 0.09955200, 2.50120540019
0.250000, 0.10236100, 2.44233643673
0.251000, 0.10524600, 2.38488873686
0.252000, 0.10820800, 2.32884814431
0.253000, 0.11124900, 2.27417774542
0.254000, 0.11437100, 2.22084269614
0.255000, 0.11757500, 2.1688284074
0.256000, 0.12086500, 2.11806561039
0.257000, 0.12424200, 2.06854364869
0.258000, 0.12770700, 2.02024947732
0.259000, 0.13126400, 1.97312286689
0.260000, 0.13491500, 1.92713930994
0.261000, 0.13866100, 1.8822884589
0.262000, 0.14250600, 1.8385190799
0.263000, 0.14645000, 1.79583475589
0.264000, 0.15049800, 1.75417613523
0.265000, 0.15465100, 1.71353563831
0.266000, 0.15891200, 1.67388240032
0.267000, 0.16328300, 1.63519778544
0.268000, 0.16776700, 1.59745361126
0.269000, 0.17236600, 1.56063260736
0.270000, 0.17708400, 1.52470014231
0.271000, 0.18192300, 1.48964122184
0.272000, 0.18688500, 1.45544051154
0.273000, 0.19197400, 1.42206757165
0.274000, 0.19719300, 1.38950165574
0.275000, 0.20254400, 1.35772967849
0.276000, 0.20803000, 1.32673172139
0.277000, 0.21365500, 1.29648264726
0.278000, 0.21942200, 1.2669650263
0.279000, 0.22533300, 1.23816751208
0.280000, 0.23139200, 1.21006776379
0.281000, 0.23760200, 1.18264997769
0.282000, 0.24396700, 1.15589403485
0.283000, 0.25049000, 1.12978562018
0.284000, 0.25717400, 1.10431070015
0.285000, 0.26402300, 1.07945141143
0.286000, 0.27104000, 1.05519480519
0.287000, 0.27822900, 1.03152439178
0.288000, 0.28559300, 1.00842807772
0.289000, 0.29313600, 0.98589050816
0.290000, 0.30086200, 0.963897069088
0.291000, 0.30877500, 0.942433811027
0.292000, 0.31687800, 0.921490289638
0.293000, 0.32517500, 0.901053279004
0.294000, 0.33367000, 0.88111007882
0.295000, 0.34236700, 0.861648464951
0.296000, 0.35127100, 0.842654247006
0.297000, 0.36038400, 0.824120937666
0.298000, 0.36971200, 0.806032803912
0.299000, 0.37925800, 0.788381523923
0.300000, 0.38902700, 0.771154701345
0.301000, 0.39902200, 0.75434437199
0.302000, 0.40924800, 0.737938853702
0.303000, 0.41970900, 0.72192876493
0.304000, 0.43041000, 0.70630329221
0.305000, 0.44135500, 0.691053686941
0.306000, 0.45254900, 0.676169873318
0.307000, 0.46399500, 0.66164506083
0.308000, 0.47569800, 0.647469613074
0.309000, 0.48766400, 0.633632993208
0.310000, 0.49989500, 0.620130227348
0.311000, 0.51239800, 0.60695006616
0.312000, 0.52517500, 0.594087685057
0.313000, 0.53823300, 0.581532533308
0.314000, 0.55157600, 0.569277851103
0.315000, 0.56520800, 0.557316952343
0.316000, 0.57913300, 0.545643228757
0.317000, 0.59335800, 0.534247452634
0.318000, 0.60788600, 0.523124401615
0.319000, 0.62272200, 0.512267111167
0.320000, 0.63787000, 0.501669619201
0.321000, 0.65333700, 0.491323773183
0.322000, 0.66912500, 0.481225481039
0.323000, 0.68524100, 0.471367008104
0.324000, 0.70168800, 0.461743680952
0.325000, 0.71847200, 0.452348873721
0.326000, 0.73559700, 0.443177446346
0.327000, 0.75306800, 0.43422373544
0.328000, 0.77089000, 0.425482234819
0.329000, 0.78906700, 0.416948117207
0.330000, 0.80760500, 0.408615597972
0.331000, 0.82650700, 0.400480576692
0.332000, 0.84577900, 0.39253753049
0.333000, 0.86542600, 0.384781598889
0.334000, 0.88545100, 0.377208902582
0.335000, 0.90585900, 0.369814728341
0.336000, 0.92665600, 0.362594101803
0.337000, 0.94784600, 0.355542989051
0.338000, 0.96943200, 0.348657770736
0.339000, 0.99142100, 0.341933447042
0.340000, 1.01400000, 0.335305719921
0.341000, 1.03700000, 0.328833172613
0.342000, 1.06000000, 0.322641509434
0.343000, 1.08300000, 0.316712834718
0.344000, 1.10800000, 0.310469314079
0.345000, 1.13200000, 0.304770318021
0.346000, 1.15700000, 0.299049265341
0.347000, 1.18200000, 0.293570219966
0.348000, 1.20800000, 0.288079470199
0.349000, 1.23400000, 0.282820097245
0.350000, 1.26100000, 0.277557494052
0.351000, 1.28800000, 0.27251552795
0.352000, 1.31600000, 0.267477203647
0.353000, 1.34400000, 0.262648809524
0.354000, 1.37200000, 0.258017492711
0.355000, 1.40100000, 0.253390435403
0.356000, 1.43100000, 0.248777078966
0.357000, 1.46100000, 0.244353182752
0.358000, 1.49100000, 0.24010731053
0.359000, 1.52200000, 0.235873850197
0.360000, 1.55400000, 0.23166023166
0.361000, 1.58500000, 0.227760252366
0.362000, 1.61800000, 0.223733003708
0.363000, 1.65100000, 0.219866747426
0.364000, 1.68400000, 0.216152019002
0.365000, 1.71800000, 0.212456344587
0.366000, 1.75200000, 0.208904109589
0.367000, 1.78700000, 0.205372132065
0.368000, 1.82200000, 0.201975850714
0.369000, 1.85800000, 0.198600645856
0.370000, 1.89500000, 0.195250659631
0.371000, 1.93200000, 0.192028985507
0.372000, 1.96900000, 0.188928390046
0.373000, 2.00700000, 0.185849526657
0.374000, 2.04600000, 0.182795698925
0.375000, 2.08500000, 0.179856115108
0.376000, 2.12400000, 0.177024482109
0.377000, 2.16400000, 0.174214417745
0.378000, 2.20500000, 0.171428571429
0.379000, 2.24600000, 0.16874443455
0.380000, 2.28800000, 0.166083916084
0.381000, 2.33000000, 0.163519313305
0.382000, 2.37300000, 0.160977665402
0.383000, 2.41600000, 0.158526490066
0.384000, 2.46000000, 0.156097560976
0.385000, 2.50400000, 0.15375399361
0.386000, 2.54900000, 0.151431934092
0.387000, 2.59500000, 0.149132947977
0.388000, 2.64100000, 0.146914047709
0.389000, 2.68700000, 0.144771120208
0.390000, 2.73400000, 0.142648134601
0.391000, 2.78200000, 0.140546369518
0.392000, 2.83000000, 0.13851590106
0.393000, 2.87900000, 0.136505731157
0.394000, 2.92900000, 0.134516899966
0.395000, 2.97800000, 0.132639355272
0.396000, 3.02900000, 0.130736216573
0.397000, 3.08000000, 0.128896103896
0.398000, 3.13100000, 0.1271159374
0.399000, 3.18300000, 0.125353440151
0.400000, 3.23600000, 0.123609394314
0.401000, 3.28900000, 0.121921556704
0.402000, 3.34300000, 0.120251271313
0.403000, 3.39700000, 0.118634088902
0.404000, 3.45200000, 0.117033603708
0.405000, 3.50800000, 0.115450399088
0.406000, 3.56400000, 0.11391694725
0.407000, 3.62000000, 0.112430939227
0.408000, 3.67700000, 0.110960021757
0.409000, 3.73500000, 0.109504685408
0.410000, 3.79300000, 0.108093857105
0.411000, 3.85200000, 0.106697819315
0.412000, 3.91100000, 0.105343901815
0.413000, 3.97100000, 0.104004029212
0.414000, 4.03100000, 0.102704043662
0.415000, 4.09200000, 0.101417399804
0.416000, 4.15400000, 0.100144439095
0.417000, 4.21600000, 0.0989089184061
0.418000, 4.27800000, 0.0977092099112
0.419000, 4.34100000, 0.0965215388159
0.420000, 4.40500000, 0.0953461975028
0.421000, 4.46900000, 0.0942045200269
0.422000, 4.53400000, 0.0930745478606
0.423000, 4.59900000, 0.0919765166341
0.424000, 4.66500000, 0.0908896034298
0.425000, 4.73100000, 0.0898330162756
0.426000, 4.79800000, 0.0887869945811
0.427000, 4.86500000, 0.0877697841727
0.428000, 4.93300000, 0.0867626190959
0.429000, 5.00200000, 0.0857656937225
0.430000, 5.07100000, 0.0847958982449
0.431000, 5.14000000, 0.0838521400778
0.432000, 5.21000000, 0.0829174664107
0.433000, 5.28100000, 0.0819920469608
0.434000, 5.35200000, 0.081091180867
0.435000, 5.42300000, 0.0802139037433
0.436000, 5.49600000, 0.0793304221252
0.437000, 5.56800000, 0.0784841954023
0.438000, 5.64100000, 0.0776458074809
0.439000, 5.71500000, 0.0768153980752
0.440000, 5.78900000, 0.0760062186906
0.441000, 5.86400000, 0.075204638472
0.442000, 5.93900000, 0.0744233035865
0.443000, 6.01400000, 0.0736614566013
0.444000, 6.09100000, 0.0728944344114
0.445000, 6.16700000, 0.0721582617156
0.446000, 6.24400000, 0.0714285714286
0.447000, 6.32200000, 0.0707054729516
0.448000, 6.40000000, 0.07
0.449000, 6.47900000, 0.0693008180275
0.450000, 6.55800000, 0.0686184812443
0.451000, 6.63800000, 0.0679421512504
0.452000, 6.71800000, 0.0672819291456
0.453000, 6.79800000, 0.0666372462489
0.454000, 6.87900000, 0.0659979648205
0.455000, 6.96100000, 0.0653641718144
0.456000, 7.04300000, 0.0647451370155
0.457000, 7.12500000, 0.0641403508772
0.458000, 7.20800000, 0.0635405105438
0.459000, 7.29200000, 0.0629456939111
0.460000, 7.37500000, 0.0623728813559
0.461000, 7.46000000, 0.0617962466488
0.462000, 7.54500000, 0.0612326043738
0.463000, 7.63000000, 0.0606815203145
0.464000, 7.71600000, 0.0601347848626
0.465000, 7.80200000, 0.0596001025378
0.466000, 7.88800000, 0.0590770791075
0.467000, 7.97500000, 0.0585579937304
0.468000, 8.06300000, 0.0580429120675
0.469000, 8.15100000, 0.0575389522758
0.470000, 8.23900000, 0.0570457579803
0.471000, 8.32800000, 0.0565561959654
0.472000, 8.41800000, 0.056070325493
0.473000, 8.50700000, 0.0556012695427
0.474000, 8.59800000, 0.0551290997906
0.475000, 8.68800000, 0.0546731123389
0.476000, 8.77900000, 0.0542202984395
0.477000, 8.87100000, 0.053770713561
0.478000, 8.96300000, 0.053330358139
0.479000, 9.05500000, 0.0528989508559
0.480000, 9.14800000, 0.052470485352
0.481000, 9.24100000, 0.0520506438697
0.482000, 9.33400000, 0.0516391686308
0.483000, 9.42800000, 0.0512303775986
0.484000, 9.52300000, 0.0508243200672
0.485000, 9.61800000, 0.0504262840507
0.486000, 9.71300000, 0.050036034181
0.487000, 9.80800000, 0.0496533442088
0.488000, 9.90500000, 0.0492680464412
0.489000, 10.00100000, 0.048895110489
0.490000, 10.09800000, 0.0485244602892
0.491000, 10.19500000, 0.0481608631682
0.492000, 10.29300000, 0.0477994753716
0.493000, 10.39100000, 0.0474449042441
0.494000, 10.48900000, 0.0470969587187
0.495000, 10.58800000, 0.046751038912
0.496000, 10.68700000, 0.0464115280247
0.497000, 10.78700000, 0.0460739779364
0.498000, 10.88700000, 0.0457426288234
0.499000, 10.98700000, 0.045417311368
0.500000, 11.08800000, 0.0450937950938
0.501000, 11.18900000, 0.044776119403
0.502000, 11.29100000, 0.0444601895315
0.503000, 11.39300000, 0.0441499166155
0.504000, 11.49500000, 0.0438451500652
0.505000, 11.59800000, 0.0435419899983
0.506000, 11.70100000, 0.0432441671652
0.507000, 11.80400000, 0.0429515418502
0.508000, 11.90800000, 0.0426603963722
0.509000, 12.01200000, 0.0423742923743
0.510000, 12.11600000, 0.042093100033
0.511000, 12.22100000, 0.0418132722363
0.512000, 12.32600000, 0.0415382119098
0.513000, 12.43200000, 0.0412644787645
0.514000, 12.53800000, 0.0409953740628
0.515000, 12.64400000, 0.0407307813983
0.516000, 12.75100000, 0.0404674143204
0.517000, 12.85800000, 0.0402084305491
0.518000, 12.96500000, 0.039953721558
0.519000, 13.07300000, 0.0397001453377
0.520000, 13.18100000, 0.0394507245277
0.521000, 13.28900000, 0.0392053578147
0.522000, 13.39800000, 0.038961038961
0.523000, 13.50700000, 0.0387206633597
0.524000, 13.61600000, 0.0384841363102
0.525000, 13.72600000, 0.0382485793385
0.526000, 13.83600000, 0.038016767852
0.527000, 13.94600000, 0.0377886132224
0.528000, 14.05700000, 0.0375613573309
0.529000, 14.16800000, 0.0373376623377
0.530000, 14.28000000, 0.0371148459384
0.531000, 14.39100000, 0.0368980612883
0.532000, 14.50300000, 0.0366820657795
0.533000, 14.61600000, 0.0364668856048
0.534000, 14.72800000, 0.036257468767
0.535000, 14.84100000, 0.0360487837747
0.536000, 14.95500000, 0.035840855901
0.537000, 15.06800000, 0.0356384390762
0.538000, 15.18200000, 0.0354367013569
0.539000, 15.29700000, 0.0352356671243
0.540000, 15.41100000, 0.0350399065602
0.541000, 15.52600000, 0.0348447765039
0.542000, 15.64200000, 0.0346503004731
0.543000, 15.75700000, 0.034460874532
0.544000, 15.87300000, 0.034272034272
0.545000, 15.98900000, 0.0340859340797
0.546000, 16.10600000, 0.0339004097852
0.547000, 16.22300000, 0.0337175614868
0.548000, 16.34000000, 0.0335373317013
0.549000, 16.45700000, 0.0333596645804
0.550000, 16.57500000, 0.0331825037707
0.551000, 16.69300000, 0.0330078476008
0.552000, 16.81100000, 0.0328356433288
0.553000, 16.93000000, 0.0326639102185
0.554000, 17.04900000, 0.0324945744618
0.555000, 17.16800000, 0.0323275862069
0.556000, 17.28700000, 0.0321628969746
0.557000, 17.40700000, 0.0319986212443
0.558000, 17.52700000, 0.0318365949678
0.559000, 17.64800000, 0.0316749773345
0.560000, 17.76800000, 0.031517334534
0.561000, 17.88900000, 0.0313600536643
0.562000, 18.01100000, 0.0312031536283
0.563000, 18.13200000, 0.0310500772116
0.564000, 18.25400000, 0.0308973375698
0.565000, 18.37600000, 0.030746626034
0.566000, 18.49900000, 0.0305962484459
0.567000, 18.62100000, 0.0304494925085
0.568000, 18.74400000, 0.030303030303
0.569000, 18.86800000, 0.0301568793725
0.570000, 18.99100000, 0.0300142172608
0.571000, 19.11500000, 0.029871828407
0.572000, 19.23900000, 0.0297312750143
0.573000, 19.36400000, 0.0295909935964
0.574000, 19.48800000, 0.0294540229885
0.575000, 19.61300000, 0.0293172895528
0.576000, 19.73800000, 0.0291822879724
0.577000, 19.86400000, 0.0290475231575
0.578000, 19.99000000, 0.0289144572286
0.579000, 20.11600000, 0.0287830582621
0.580000, 20.24200000, 0.0286532951289
0.581000, 20.36900000, 0.0285237370514
0.582000, 20.49500000, 0.0283971700415
0.583000, 20.62300000, 0.0282694079426
0.584000, 20.75000000, 0.0281445783133
0.585000, 20.87800000, 0.0280199252802
0.586000, 21.00600000, 0.0278967913929
0.587000, 21.13400000, 0.0277751490489
0.588000, 21.26200000, 0.0276549713103
0.589000, 21.39100000, 0.0275349446029
0.590000, 21.52000000, 0.0274163568773
0.591000, 21.64900000, 0.0272991824103
0.592000, 21.77900000, 0.0271821479407
0.593000, 21.90800000, 0.0270677378127
0.594000, 22.03800000, 0.0269534440512
0.595000, 22.16900000, 0.0268392800758
0.596000, 22.29900000, 0.0267276559487
0.597000, 22.43000000, 0.0266161390994
0.598000, 22.56100000, 0.0265059172909
0.599000, 22.69200000, 0.0263969680945
0.600000, 22.82400000, 0.0262881177708
0.601000, 22.95600000, 0.0261805192542
0.602000, 23.08800000, 0.0260741510742
0.603000, 23.22000000, 0.0259689922481
0.604000, 23.35300000, 0.0258639147005
0.605000, 23.48600000, 0.0257600272503
0.606000, 23.61900000, 0.025657309793
0.607000, 23.75200000, 0.0255557426743
0.608000, 23.88600000, 0.025454240978
0.609000, 24.01900000, 0.0253549273492
0.610000, 24.15300000, 0.0252556618225
0.611000, 24.28800000, 0.025156455863
0.612000, 24.42200000, 0.0250593726967
0.613000, 24.55700000, 0.0249623325325
0.614000, 24.69200000, 0.0248663534748
0.615000, 24.82700000, 0.024771418214
0.616000, 24.96300000, 0.0246765212515
0.617000, 25.09900000, 0.0245826526953
0.618000, 25.23500000, 0.0244897959184
0.619000, 25.37100000, 0.0243979346498
0.620000, 25.50700000, 0.0243070529659
0.621000, 25.64400000, 0.0242161909219
0.622000, 25.78100000, 0.024126294558
0.623000, 25.91800000, 0.0240373485608
0.624000, 26.05600000, 0.0239484187903
0.625000, 26.19400000, 0.0238604260518
0.626000, 26.33100000, 0.0237742584786
0.627000, 26.47000000, 0.0236871930487
0.628000, 26.60800000, 0.0236019242333
0.629000, 26.74700000, 0.0235166560736
0.630000, 26.88500000, 0.0234331411568
0.631000, 27.02400000, 0.0233496151569
0.632000, 27.16400000, 0.0232660874687
0.633000, 27.30300000, 0.0231842654653
0.634000, 27.44300000, 0.0231024304923
0.635000, 27.58300000, 0.0230214262408
0.636000, 27.72300000, 0.0229412401255
0.637000, 27.86400000, 0.0228610393339
0.638000, 28.00500000, 0.0227816461346
0.639000, 28.14500000, 0.0227038550364
0.640000, 28.28700000, 0.0226252342065
0.641000, 28.42800000, 0.0225481919235
0.642000, 28.57000000, 0.0224711235562
0.643000, 28.71100000, 0.0223955975062
0.644000, 28.85300000, 0.0223200360448
0.645000, 28.99600000, 0.02224444751
0.646000, 29.13800000, 0.022170361727
0.647000, 29.28100000, 0.0220962398825
0.648000, 29.42400000, 0.0220228384992
0.649000, 29.56700000, 0.0219501471235
0.650000, 29.71000000, 0.0218781555032
0.651000, 29.85400000, 0.0218061231326
0.652000, 29.99800000, 0.0217347823188
0.653000, 30.14200000, 0.0216641231504
0.654000, 30.28600000, 0.0215941359044
0.655000, 30.43000000, 0.0215248110417
0.656000, 30.57500000, 0.0214554374489
0.657000, 30.72000000, 0.02138671875
0.658000, 30.86500000, 0.0213186457152
0.659000, 31.01000000, 0.0212512092873
0.660000, 31.15600000, 0.0211837206317
0.661000, 31.30200000, 0.0211168615424
0.662000, 31.44800000, 0.0210506232511
0.663000, 31.59400000, 0.0209849971514
0.664000, 31.74000000, 0.0209199747952
0.665000, 31.88700000, 0.0208548938439
0.666000, 32.03400000, 0.0207904101892
0.667000, 32.18100000, 0.0207265156459
0.668000, 32.32800000, 0.0206632021777
0.669000, 32.47500000, 0.0206004618938
0.670000, 32.62300000, 0.0205376574809
0.671000, 32.77100000, 0.0204754203412
0.672000, 32.91900000, 0.0204137428233
0.673000, 33.06700000, 0.0203526174131
0.674000, 33.21600000, 0.0202914258189
0.675000, 33.36400000, 0.0202313871238
0.676000, 33.51300000, 0.020171276818
0.677000, 33.66200000, 0.0201116986513
0.678000, 33.81200000, 0.0200520525257
0.679000, 33.96100000, 0.0199935219811
0.680000, 34.11100000, 0.0199349183548
0.681000, 34.26100000, 0.0198768278801
0.682000, 34.41100000, 0.0198192438464
0.683000, 34.56100000, 0.0197621596597
0.684000, 34.71200000, 0.0197050011523
0.685000, 34.86200000, 0.0196489013826
0.686000, 35.01300000, 0.019592722703
0.687000, 35.16400000, 0.0195370265044
