M,N,K,l1_tile_M,l1_tile_N,l1_tile_K,l1_loop_order,l0_M_tiling_factor,l0_N_tiling_factor,l0_K_tiling_factor,dataflow,cycle_count
64,64,4096,32,32,256,knm,2,2,1,os,496
64,64,8192,32,32,256,knm,1,1,4,os,1116
64,64,4096,32,32,256,knm,1,1,4,os,592
64,64,8192,32,32,256,knm,1,4,1,os,1496
64,64,4096,32,32,256,knm,1,4,1,os,782
64,64,8192,64,64,256,knm,4,1,1,os,1467
64,64,4096,64,64,256,knm,4,1,1,os,1262
64,64,8192,64,64,256,knm,1,2,2,os,1475
64,64,4096,64,64,256,knm,1,2,2,os,1270
64,64,8192,64,64,256,knm,2,1,2,os,1475
64,64,4096,64,64,256,knm,2,1,2,os,1270
64,64,8192,64,64,256,knm,2,2,1,os,1467
64,64,4096,64,64,256,knm,2,2,1,os,1262
64,64,8192,64,64,256,knm,1,1,4,os,1491
64,64,4096,64,64,256,knm,1,1,4,os,1286
64,64,8192,64,64,256,knm,1,4,1,os,1467
64,64,4096,64,64,256,knm,1,4,1,os,1262
64,64,4096,32,32,128,knm,4,1,1,os,811
64,64,4096,32,32,128,knm,1,2,2,os,559
64,64,4096,32,32,128,knm,2,1,2,os,559
64,64,4096,32,32,128,knm,2,2,1,os,495
64,64,4096,32,32,128,knm,1,1,4,os,687
64,64,4096,32,32,128,knm,1,4,1,os,811
64,64,4096,64,64,128,knm,4,1,1,os,848
64,64,4096,64,64,128,knm,1,2,2,os,976
64,64,4096,64,64,128,knm,2,1,2,os,976
64,64,4096,64,64,128,knm,2,2,1,os,848
64,64,4096,64,64,128,knm,1,1,4,os,1232
64,64,4096,64,64,128,knm,1,4,1,os,848
64,64,2048,32,32,512,knm,4,1,1,os,1112
64,64,2048,32,32,512,knm,1,2,2,os,681
64,64,2048,32,32,512,knm,2,1,2,os,681
64,64,2048,32,32,512,knm,2,2,1,os,649
64,64,2048,32,32,512,knm,1,1,4,os,745
64,64,2048,32,32,512,knm,1,4,1,os,1112
64,64,2048,32,32,256,knm,4,1,1,os,679
64,64,2048,32,32,256,knm,1,2,2,os,425
64,64,2048,32,32,256,knm,2,1,2,os,425
64,64,2048,32,32,256,knm,2,2,1,os,393
64,64,2048,32,32,256,knm,1,1,4,os,489
64,64,2048,32,32,256,knm,1,4,1,os,679
64,64,2048,32,32,128,knm,4,1,1,os,423
64,64,2048,32,32,128,knm,1,2,2,os,297
64,64,2048,32,32,128,knm,2,1,2,os,297
64,64,2048,32,32,128,knm,2,2,1,os,265
64,64,2048,32,32,128,knm,1,1,4,os,361
64,64,2048,32,32,128,knm,1,4,1,os,423
64,64,2048,32,32,64,knm,4,1,1,os,468
64,64,2048,32,32,64,knm,1,2,2,os,344
64,64,2048,32,32,64,knm,2,1,2,os,344
64,64,2048,32,32,64,knm,2,2,1,os,280
64,64,2048,32,32,64,knm,1,1,4,os,472
64,64,2048,32,32,64,knm,1,4,1,os,468
64,64,2048,64,64,256,knm,4,1,1,os,1159
64,64,2048,64,64,256,knm,1,2,2,os,1167
64,64,2048,64,64,256,knm,2,1,2,os,1167
64,64,2048,64,64,256,knm,2,2,1,os,1159
64,64,2048,64,64,256,knm,1,1,4,os,1183
64,64,2048,64,64,256,knm,1,4,1,os,1159
64,64,2048,64,64,128,knm,4,1,1,os,745
64,64,2048,64,64,128,knm,1,2,2,os,873
64,64,2048,64,64,128,knm,2,1,2,os,873
64,64,2048,64,64,128,knm,2,2,1,os,745
64,64,2048,64,64,128,knm,1,1,4,os,1129
64,64,2048,64,64,128,knm,1,4,1,os,745
64,64,2048,64,64,64,knm,4,1,1,os,489
64,64,2048,64,64,64,knm,1,2,2,os,617
64,64,2048,64,64,64,knm,2,1,2,os,617
64,64,2048,64,64,64,knm,2,2,1,os,489
64,64,2048,64,64,64,knm,1,1,4,os,873
64,64,2048,64,64,64,knm,1,4,1,os,489
64,64,1024,32,32,512,knm,4,1,1,os,1061
64,64,1024,32,32,512,knm,1,2,2,os,630
64,64,1024,32,32,512,knm,2,1,2,os,630
64,64,1024,32,32,512,knm,2,2,1,os,598
64,64,1024,32,32,512,knm,1,1,4,os,694
64,64,1024,32,32,512,knm,1,4,1,os,1061
64,64,1024,32,32,256,knm,4,1,1,os,628
64,64,1024,32,32,256,knm,1,2,2,os,374
64,64,1024,32,32,256,knm,2,1,2,os,374
64,64,1024,32,32,256,knm,2,2,1,os,342
64,64,1024,32,32,256,knm,1,1,4,os,438
64,64,1024,32,32,256,knm,1,4,1,os,628
64,64,1024,32,32,128,knm,4,1,1,os,372
64,64,1024,32,32,128,knm,1,2,2,os,246
64,64,1024,32,32,128,knm,2,1,2,os,246
64,64,1024,32,32,128,knm,2,2,1,os,214
64,64,1024,32,32,128,knm,1,1,4,os,310
64,64,1024,32,32,128,knm,1,4,1,os,372
64,64,1024,32,32,64,knm,4,1,1,os,244
64,64,1024,32,32,64,knm,1,2,2,os,182
64,64,1024,32,32,64,knm,2,1,2,os,182
64,64,1024,32,32,64,knm,2,2,1,os,150
64,64,1024,32,32,64,knm,1,1,4,os,246
64,64,1024,32,32,64,knm,1,4,1,os,244
64,64,1024,32,32,32,knm,4,1,1,os,297
64,64,1024,32,32,32,knm,1,2,2,os,237
64,64,1024,32,32,32,knm,2,1,2,os,237
64,64,1024,32,32,32,knm,2,2,1,os,173
64,64,1024,32,32,32,knm,1,1,4,os,365
64,64,1024,32,32,32,knm,1,4,1,os,297
64,64,1024,64,64,256,knm,4,1,1,os,1108
64,64,1024,64,64,256,knm,1,2,2,os,1116
64,64,1024,64,64,256,knm,2,1,2,os,1116
64,64,1024,64,64,256,knm,2,2,1,os,1108
64,64,1024,64,64,256,knm,1,1,4,os,1132
64,64,1024,64,64,256,knm,1,4,1,os,1108
64,64,1024,64,64,128,knm,4,1,1,os,694
64,64,1024,64,64,128,knm,1,2,2,os,822
64,64,1024,64,64,128,knm,2,1,2,os,822
64,64,1024,64,64,128,knm,2,2,1,os,694
64,64,1024,64,64,128,knm,1,1,4,os,1078
64,64,1024,64,64,128,knm,1,4,1,os,694
64,64,1024,64,64,64,knm,4,1,1,os,438
64,64,1024,64,64,64,knm,1,2,2,os,566
64,64,1024,64,64,64,knm,2,1,2,os,566
64,64,1024,64,64,64,knm,2,2,1,os,438
64,64,1024,64,64,64,knm,1,1,4,os,822
