B, M, K, N, latency
1, 65, 28672, 8192, 0.00013119597169297767
1, 129, 8192, 8192, 3.870386499727817e-05
1, 129, 8192, 2048, 1.095427327163854e-05
1, 129, 8192, 28672, 0.0001312025040827436
1, 129, 28672, 8192, 0.0001352792596624932
1, 65, 8192, 4096, 1.915732172019597e-05
1, 65, 8192, 1024, 5.373979314099075e-06
1, 65, 4096, 8192, 1.913826891671203e-05
1, 65, 8192, 14336, 6.510179640718563e-05
1, 65, 14336, 8192, 6.586499727817092e-05
1, 129, 8192, 4096, 2.0204137180185083e-05
1, 129, 8192, 1024, 6.32934131736527e-06
1, 129, 4096, 8192, 2.0186173108328798e-05
1, 129, 8192, 14336, 6.64534567229178e-05
1, 129, 14336, 8192, 6.817964071856288e-05
1, 129, 8192, 512, 3.6755579749591727e-06
1, 129, 2048, 8192, 1.0941752857920522e-05
1, 129, 8192, 7168, 3.40789330430049e-05
1, 129, 7168, 8192, 3.5953728905824716e-05
1, 2048, 128, 256, 8.08927599346761e-07
1, 2048, 256, 128, 7.310832879695155e-07
1, 8, 128, 1, 6.293402777777778e-10
1, 8, 1, 128, 2.8307022318998365e-08
1, 9, 8192, 8192, 3.67408818726184e-05
1, 9, 8192, 2048, 9.330430048992923e-06
1, 9, 8192, 28672, 0.0001280201415351116
1, 9, 28672, 8192, 0.00012829613500272183
1, 17, 8192, 8192, 3.6895481763745235e-05
1, 17, 8192, 2048, 9.443658138268917e-06
1, 17, 8192, 28672, 0.00012833859553620033
1, 17, 28672, 8192, 0.0001287087642896026
1, 17, 8192, 4096, 1.8604790419161675e-05
1, 17, 8192, 1024, 4.827436037016875e-06
1, 17, 4096, 8192, 1.8552531301034294e-05
1, 17, 8192, 14336, 6.433151878062057e-05
1, 17, 14336, 8192, 6.449101796407186e-05
1, 33, 8192, 4096, 1.8861186717474142e-05
1, 33, 8192, 1024, 5.022863364180729e-06
1, 33, 4096, 8192, 1.872128470332063e-05
1, 33, 8192, 14336, 6.46314643440392e-05
1, 33, 14336, 8192, 6.493358737071311e-05
1, 33, 8192, 512, 2.6864452912357105e-06
1, 33, 2048, 8192, 9.551442569406641e-06
1, 33, 8192, 7168, 3.259227000544366e-05
1, 33, 7168, 8192, 3.281818181818182e-05
1, 65, 8192, 512, 3.0528034839412085e-06
1, 65, 2048, 8192, 9.951551442569406e-06
1, 65, 8192, 7168, 3.2940664126292866e-05
1, 65, 7168, 8192, 3.374578116494284e-05
1, 65, 8192, 256, 1.768644529123571e-06
1, 512, 128, 256, 2.623843222645618e-07
1, 512, 256, 128, 2.7708219923788785e-07
1, 65, 1024, 8192, 5.357648339684268e-06
1, 65, 8192, 3584, 1.686009798584649e-05
1, 65, 3584, 8192, 1.7686989657049537e-05
1, 129, 8192, 256, 2.275449101796407e-06
1, 1024, 128, 256, 4.708764289602613e-07
1, 1024, 256, 128, 4.458356015242243e-07
1, 129, 1024, 8192, 6.527490473598258e-06
1, 129, 8192, 3584, 1.789167120304845e-05
1, 129, 3584, 8192, 1.9391399020141535e-05
1, 129, 512, 8192, 4.1126837234621665e-06
1, 129, 8192, 1792, 9.798040283070223e-06
1, 129, 1792, 8192, 1.1860097985846489e-05
1, 257, 512, 8192, 6.400653238976592e-06
1, 257, 8192, 1792, 1.564833968426783e-05
1, 257, 1792, 8192, 1.8810016330974416e-05
1, 257, 256, 8192, 4.384322264561785e-06
1, 257, 8192, 896, 9.040827436037017e-06
1, 257, 896, 8192, 1.2342406096897115e-05
8, 8, 128, 2, 4.034383411207888e-08
8, 8, 2, 128, 3.4373374463194825e-08
1, 258, 8192, 8192, 6.109961894393032e-05
1, 258, 8192, 2048, 1.7508437670114315e-05
1, 258, 8192, 28672, 0.0002020489929232444
1, 258, 28672, 8192, 0.00020637125748502994
4, 8, 128, 2, 3.432108793776084e-08
4, 8, 2, 128, 3.1062420613318814e-08
1, 258, 8192, 4096, 3.226129559063691e-05
1, 258, 8192, 1024, 9.547087642896026e-06
1, 258, 4096, 8192, 3.233696243875885e-05
1, 258, 8192, 14336, 0.00010387370713119216
1, 258, 14336, 8192, 0.00010562874251497005
2, 8, 128, 2, 3.103753194368838e-08
2, 8, 2, 128, 2.9406943688380812e-08
1, 258, 8192, 512, 5.487751769188895e-06
1, 258, 2048, 8192, 1.7608056614044637e-05
1, 258, 8192, 7168, 5.389003810560697e-05
1, 258, 7168, 8192, 5.754109961894393e-05
1, 258, 8192, 256, 3.442025040827436e-06
1, 8, 128, 2, 2.939575394665215e-08
1, 8, 2, 128, 2.8851388132825257e-08
1, 258, 1024, 8192, 1.0187806205770277e-05
1, 258, 8192, 3584, 2.865650517147523e-05
1, 258, 3584, 8192, 3.216875340228634e-05
1, 258, 512, 8192, 6.409363091997823e-06
1, 258, 8192, 1792, 1.5652694610778443e-05
1, 258, 1792, 8192, 1.883560152422428e-05
1, 258, 256, 8192, 4.388677191072401e-06
1, 258, 8192, 896, 9.055525313010343e-06
1, 258, 896, 8192, 1.2365269461077845e-05
8, 8, 128, 4, 4.1493329628621547e-08
8, 8, 4, 128, 3.60064719046755e-08
8, 8, 128, 8, 4.488105228936067e-08
8, 8, 8, 128, 3.927266678763685e-08
1, 130, 8192, 8192, 3.8726183995645077e-05
1, 130, 8192, 2048, 1.0963527490473598e-05
1, 130, 8192, 28672, 0.00013126837234621666
1, 130, 28672, 8192, 0.00013535274904735982
1, 260, 8192, 8192, 6.112574850299401e-05
1, 260, 8192, 2048, 1.7517147523135548e-05
1, 260, 8192, 28672, 0.00020208818726183997
1, 260, 28672, 8192, 0.0002064148067501361
