M, N, latency
516, 28672, 2.1486916167664673e-05
516, 14336, 1.0743458083832336e-05
516, 7168, 5.371729041916168e-06
516, 3584, 2.6981287425149697e-06
516, 1792, 1.3490643712574848e-06
516, 896, 6.867964071856287e-07
520, 28672, 2.165861526946108e-05
520, 14336, 1.0841571856287425e-05
520, 7168, 5.420785928143712e-06
520, 3584, 2.7226571856287426e-06
520, 1792, 1.3735928143712573e-06
520, 896, 6.867964071856287e-07
528, 28672, 2.1977485029940117e-05
528, 14336, 1.0988742514970059e-05
528, 7168, 5.494371257485029e-06
528, 3584, 2.7471856287425147e-06
528, 1792, 1.3735928143712573e-06
528, 896, 6.867964071856287e-07
544, 28672, 2.266428143712575e-05
544, 14336, 1.1332140718562875e-05
544, 7168, 5.666070359281437e-06
544, 3584, 2.8452994011976047e-06
544, 1792, 1.4226497005988023e-06
544, 896, 7.113248502994012e-07
576, 28672, 2.3988817365269463e-05
576, 14336, 1.1994408682634732e-05
576, 7168, 6.009468562874252e-06
576, 3584, 3.0169985029940117e-06
576, 1792, 1.5207634730538921e-06
576, 896, 7.603817365269461e-07
640, 28672, 2.6662417664670657e-05
640, 14336, 1.3343473053892215e-05
640, 7168, 6.671736526946108e-06
640, 3584, 3.335868263473054e-06
640, 1792, 1.667934131736527e-06
640, 896, 8.339670658682634e-07
1024, 28672, 4.263043413173653e-05
1024, 14336, 2.1315217065868266e-05
1024, 7168, 1.0669872754491018e-05
1024, 3584, 5.347200598802395e-06
1024, 1792, 2.6736002994011976e-06
1024, 896, 1.3490643712574848e-06
1025, 28672, 4.267949101796407e-05
1025, 14336, 2.1339745508982035e-05
1025, 7168, 1.0669872754491018e-05
1025, 3584, 5.347200598802395e-06
1025, 1792, 2.6736002994011976e-06
1025, 896, 1.3490643712574848e-06
1026, 28672, 4.2728547904191616e-05
1026, 14336, 2.1364273952095808e-05
1026, 7168, 1.069440119760479e-05
1026, 3584, 5.347200598802395e-06
1026, 1792, 2.6736002994011976e-06
1026, 896, 1.3490643712574848e-06
1028, 28672, 4.280213323353293e-05
1028, 14336, 2.1413330838323354e-05
1028, 7168, 1.0718929640718563e-05
1028, 3584, 5.371729041916168e-06
1028, 1792, 2.6981287425149697e-06
1028, 896, 1.3490643712574848e-06
1032, 28672, 4.2973832335329345e-05
1032, 14336, 2.1486916167664673e-05
1032, 7168, 1.0743458083832336e-05
1032, 3584, 5.371729041916168e-06
1032, 1792, 2.6981287425149697e-06
1032, 896, 1.3490643712574848e-06
1040, 28672, 4.329270209580838e-05
1040, 14336, 2.165861526946108e-05
1040, 7168, 1.0841571856287425e-05
1040, 3584, 5.420785928143712e-06
1040, 1792, 2.7226571856287426e-06
1040, 896, 1.3735928143712573e-06
1056, 28672, 4.3954970059880235e-05
1056, 14336, 2.1977485029940117e-05
1056, 7168, 1.0988742514970059e-05
1056, 3584, 5.494371257485029e-06
1056, 1792, 2.7471856287425147e-06
1056, 896, 1.3735928143712573e-06
1088, 28672, 4.530403443113772e-05
1088, 14336, 2.266428143712575e-05
1088, 7168, 1.1332140718562875e-05
1088, 3584, 5.666070359281437e-06
1088, 1792, 2.8452994011976047e-06
1088, 896, 1.4226497005988023e-06
1152, 28672, 4.795310628742515e-05
1152, 14336, 2.3988817365269463e-05
1152, 7168, 1.1994408682634732e-05
1152, 3584, 6.009468562874252e-06
1152, 1792, 3.0169985029940117e-06
1152, 896, 1.5207634730538921e-06
1280, 28672, 5.3300306886227545e-05
1280, 14336, 2.6662417664670657e-05
1280, 7168, 1.3343473053892215e-05
1280, 3584, 6.671736526946108e-06
1280, 1792, 3.335868263473054e-06
1280, 896, 1.667934131736527e-06
1536, 28672, 6.394565119760479e-05
1536, 14336, 3.198508982035928e-05
1536, 7168, 1.599254491017964e-05
1536, 3584, 7.99627245508982e-06
1536, 1792, 3.99813622754491e-06
1536, 896, 2.0113323353293414e-06
2049, 28672, 8.53099251497006e-05
2049, 14336, 4.26549625748503e-05
2049, 7168, 2.1339745508982035e-05
2049, 3584, 1.0669872754491018e-05
2049, 1792, 5.347200598802395e-06
2049, 896, 2.6736002994011976e-06
2050, 28672, 8.533445359281437e-05
2050, 14336, 4.267949101796407e-05
2050, 7168, 2.1339745508982035e-05
2050, 3584, 1.0669872754491018e-05
2050, 1792, 5.347200598802395e-06
2050, 896, 2.6736002994011976e-06
2052, 28672, 8.543256736526946e-05
2052, 14336, 4.2728547904191616e-05
2052, 7168, 2.1364273952095808e-05
2052, 3584, 1.069440119760479e-05
2052, 1792, 5.347200598802395e-06
2052, 896, 2.6736002994011976e-06
2056, 28672, 8.55797380239521e-05
2056, 14336, 4.280213323353293e-05
2056, 7168, 2.1413330838323354e-05
2056, 3584, 1.0718929640718563e-05
2056, 1792, 5.371729041916168e-06
2056, 896, 2.6981287425149697e-06
2064, 28672, 8.592313622754491e-05
2064, 14336, 4.2973832335329345e-05
2064, 7168, 2.1486916167664673e-05
2064, 3584, 1.0743458083832336e-05
2064, 1792, 5.371729041916168e-06
2064, 896, 2.6981287425149697e-06
2080, 28672, 8.658540419161677e-05
2080, 14336, 4.329270209580838e-05
2080, 7168, 2.165861526946108e-05
2080, 3584, 1.0841571856287425e-05
2080, 1792, 5.420785928143712e-06
2080, 896, 2.7226571856287426e-06
2112, 28672, 8.790994011976047e-05
2112, 14336, 4.3954970059880235e-05
2112, 7168, 2.1977485029940117e-05
2112, 3584, 1.0988742514970059e-05
2112, 1792, 5.494371257485029e-06
2112, 896, 2.7471856287425147e-06
2176, 28672, 9.058354041916167e-05
2176, 14336, 4.530403443113772e-05
2176, 7168, 2.266428143712575e-05
2176, 3584, 1.1332140718562875e-05
2176, 1792, 5.666070359281437e-06
2176, 896, 2.8452994011976047e-06
2304, 28672, 9.59062125748503e-05
2304, 14336, 4.795310628742515e-05
2304, 7168, 2.3988817365269463e-05
2304, 3584, 1.1994408682634732e-05
2304, 1792, 6.009468562874252e-06
2304, 896, 3.0169985029940117e-06
2560, 28672, 0.00010657608532934132
2560, 14336, 5.3300306886227545e-05
2560, 7168, 2.6662417664670657e-05
2560, 3584, 1.3343473053892215e-05
2560, 1792, 6.671736526946108e-06
2560, 896, 3.335868263473054e-06
9, 53248, 7.113248502994012e-07
17, 53248, 1.3245359281437126e-06
33, 53248, 2.5509580838323356e-06
65, 53248, 5.028330838323353e-06
129, 53248, 9.98307634730539e-06
257, 53248, 1.9868038922155687e-05
17, 26624, 6.622679640718563e-07
33, 26624, 1.2754790419161678e-06
65, 26624, 2.5264296407185626e-06
129, 26624, 5.003802395209581e-06
257, 26624, 9.934019461077843e-06
33, 13312, 6.377395209580839e-07
65, 13312, 1.2754790419161678e-06
129, 13312, 2.5019011976047906e-06
257, 13312, 4.979273952095808e-06
65, 6656, 6.377395209580839e-07
129, 6656, 1.2509505988023953e-06
257, 6656, 2.5019011976047906e-06
129, 3328, 6.377395209580839e-07
257, 3328, 1.2509505988023953e-06
257, 1664, 6.377395209580839e-07
3, 53248, 2.4528443113772456e-07
5, 53248, 3.9245508982035933e-07
5, 26624, 1.9622754491017967e-07
9, 26624, 3.6792664670658683e-07
9, 13312, 1.9622754491017967e-07
17, 13312, 3.4339820359281434e-07
17, 6656, 1.7169910179640717e-07
33, 6656, 3.1886976047904194e-07
33, 3328, 1.7169910179640717e-07
65, 3328, 3.1886976047904194e-07
65, 1664, 1.7169910179640717e-07
129, 1664, 3.1886976047904194e-07
129, 832, 1.7169910179640717e-07
257, 832, 3.1886976047904194e-07
257, 416, 1.7169910179640717e-07
258, 53248, 1.996615269461078e-05
258, 26624, 9.98307634730539e-06
258, 13312, 5.003802395209581e-06
258, 6656, 2.5019011976047906e-06
258, 3328, 1.2509505988023953e-06
258, 1664, 6.377395209580839e-07
258, 832, 3.1886976047904194e-07
258, 416, 1.7169910179640717e-07
130, 53248, 1.0056661676646706e-05
260, 53248, 2.0113323353293413e-05
130, 26624, 5.028330838323353e-06
260, 26624, 1.0056661676646706e-05
130, 13312, 2.5264296407185626e-06
260, 13312, 5.028330838323353e-06
130, 6656, 1.2754790419161678e-06
260, 6656, 2.5264296407185626e-06
130, 3328, 6.377395209580839e-07
260, 3328, 1.2754790419161678e-06
260, 1664, 6.377395209580839e-07
130, 1664, 3.1886976047904194e-07
130, 832, 1.7169910179640717e-07
260, 832, 3.1886976047904194e-07
260, 416, 1.7169910179640717e-07
66, 53248, 5.101916167664671e-06
132, 53248, 1.0203832335329342e-05
264, 53248, 2.0407664670658684e-05
66, 26624, 2.5509580838323356e-06
132, 26624, 5.101916167664671e-06
264, 26624, 1.0203832335329342e-05
66, 13312, 1.2754790419161678e-06
132, 13312, 2.5509580838323356e-06
264, 13312, 5.101916167664671e-06
66, 6656, 6.377395209580839e-07
132, 6656, 1.2754790419161678e-06
264, 6656, 2.5509580838323356e-06
132, 3328, 6.377395209580839e-07
264, 3328, 1.2754790419161678e-06
264, 1664, 6.377395209580839e-07
66, 3328, 3.1886976047904194e-07
66, 1664, 1.7169910179640717e-07
132, 1664, 3.1886976047904194e-07
132, 832, 1.7169910179640717e-07
264, 832, 3.1886976047904194e-07
264, 416, 1.7169910179640717e-07
34, 53248, 2.649071856287425e-06
68, 53248, 5.273615269461078e-06
136, 53248, 1.0522702095808383e-05
272, 53248, 2.1045404191616767e-05
34, 26624, 1.3245359281437126e-06
68, 26624, 2.649071856287425e-06
136, 26624, 5.273615269461078e-06
272, 26624, 1.0522702095808383e-05
34, 13312, 6.622679640718563e-07
68, 13312, 1.3245359281437126e-06
136, 13312, 2.649071856287425e-06
272, 13312, 5.273615269461078e-06
68, 6656, 6.622679640718563e-07
136, 6656, 1.3245359281437126e-06
272, 6656, 2.649071856287425e-06
136, 3328, 6.622679640718563e-07
272, 3328, 1.3245359281437126e-06
272, 1664, 6.622679640718563e-07
34, 6656, 3.4339820359281434e-07
34, 3328, 1.7169910179640717e-07
68, 3328, 3.4339820359281434e-07
68, 1664, 1.7169910179640717e-07
136, 1664, 3.4339820359281434e-07
136, 832, 1.7169910179640717e-07
272, 832, 3.4339820359281434e-07
272, 416, 1.7169910179640717e-07
18, 53248, 1.3981212574850298e-06
36, 53248, 2.7962425149700597e-06
72, 53248, 5.567956586826347e-06
144, 53248, 1.1135913173652695e-05
288, 53248, 2.227182634730539e-05
18, 26624, 7.113248502994012e-07
36, 26624, 1.3981212574850298e-06
72, 26624, 2.7962425149700597e-06
144, 26624, 5.567956586826347e-06
288, 26624, 1.1135913173652695e-05
36, 13312, 7.113248502994012e-07
72, 13312, 1.3981212574850298e-06
144, 13312, 2.7962425149700597e-06
288, 13312, 5.567956586826347e-06
72, 6656, 7.113248502994012e-07
144, 6656, 1.3981212574850298e-06
288, 6656, 2.7962425149700597e-06
144, 3328, 7.113248502994012e-07
288, 3328, 1.3981212574850298e-06
288, 1664, 7.113248502994012e-07
18, 13312, 3.6792664670658683e-07
18, 6656, 1.9622754491017967e-07
36, 6656, 3.6792664670658683e-07
36, 3328, 1.9622754491017967e-07
72, 3328, 3.6792664670658683e-07
72, 1664, 1.9622754491017967e-07
144, 1664, 3.6792664670658683e-07
144, 832, 1.9622754491017967e-07
288, 832, 3.6792664670658683e-07
288, 416, 1.9622754491017967e-07
10, 53248, 7.849101796407187e-07
20, 53248, 1.5698203592814373e-06
40, 53248, 3.1151122754491017e-06
80, 53248, 6.2056961077844305e-06
160, 53248, 1.238686377245509e-05
320, 53248, 2.4749199101796407e-05
20, 26624, 7.849101796407187e-07
40, 26624, 1.5698203592814373e-06
80, 26624, 3.1151122754491017e-06
160, 26624, 6.2056961077844305e-06
320, 26624, 1.238686377245509e-05
40, 13312, 7.849101796407187e-07
80, 13312, 1.5698203592814373e-06
160, 13312, 3.1151122754491017e-06
320, 13312, 6.2056961077844305e-06
80, 6656, 7.849101796407187e-07
160, 6656, 1.5698203592814373e-06
320, 6656, 3.1151122754491017e-06
160, 3328, 7.849101796407187e-07
320, 3328, 1.5698203592814373e-06
320, 1664, 7.849101796407187e-07
10, 26624, 3.9245508982035933e-07
10, 13312, 1.9622754491017967e-07
20, 13312, 3.9245508982035933e-07
20, 6656, 1.9622754491017967e-07
40, 6656, 3.9245508982035933e-07
40, 3328, 1.9622754491017967e-07
80, 3328, 3.9245508982035933e-07
80, 1664, 1.9622754491017967e-07
160, 1664, 3.9245508982035933e-07
160, 832, 1.9622754491017967e-07
320, 832, 3.9245508982035933e-07
320, 416, 1.9622754491017967e-07
12, 53248, 9.320808383233532e-07
24, 53248, 1.8641616766467065e-06
48, 53248, 3.728323353293413e-06
96, 53248, 7.432118263473054e-06
192, 53248, 1.4864236526946107e-05
384, 53248, 2.9703944610778442e-05
24, 26624, 9.320808383233532e-07
48, 26624, 1.8641616766467065e-06
96, 26624, 3.728323353293413e-06
192, 26624, 7.432118263473054e-06
384, 26624, 1.4864236526946107e-05
48, 13312, 9.320808383233532e-07
96, 13312, 1.8641616766467065e-06
192, 13312, 3.728323353293413e-06
384, 13312, 7.432118263473054e-06
96, 6656, 9.320808383233532e-07
192, 6656, 1.8641616766467065e-06
384, 6656, 3.728323353293413e-06
192, 3328, 9.320808383233532e-07
384, 3328, 1.8641616766467065e-06
384, 1664, 9.320808383233532e-07
6, 53248, 4.660404191616766e-07
6, 26624, 2.4528443113772456e-07
12, 26624, 4.660404191616766e-07
12, 13312, 2.4528443113772456e-07
24, 13312, 4.660404191616766e-07
24, 6656, 2.4528443113772456e-07
48, 6656, 4.660404191616766e-07
48, 3328, 2.4528443113772456e-07
96, 3328, 4.660404191616766e-07
96, 1664, 2.4528443113772456e-07
192, 1664, 4.660404191616766e-07
192, 832, 2.4528443113772456e-07
384, 832, 4.660404191616766e-07
384, 416, 2.4528443113772456e-07
16, 53248, 1.2509505988023953e-06
32, 53248, 2.477372754491018e-06
64, 53248, 4.954745508982036e-06
128, 53248, 9.909491017964072e-06
256, 53248, 1.979445359281437e-05
512, 53248, 3.958890718562874e-05
32, 26624, 1.2509505988023953e-06
64, 26624, 2.477372754491018e-06
128, 26624, 4.954745508982036e-06
256, 26624, 9.909491017964072e-06
512, 26624, 1.979445359281437e-05
64, 13312, 1.2509505988023953e-06
128, 13312, 2.477372754491018e-06
256, 13312, 4.954745508982036e-06
512, 13312, 9.909491017964072e-06
128, 6656, 1.2509505988023953e-06
256, 6656, 2.477372754491018e-06
512, 6656, 4.954745508982036e-06
256, 3328, 1.2509505988023953e-06
512, 3328, 2.477372754491018e-06
512, 1664, 1.2509505988023953e-06
4, 53248, 3.1886976047904194e-07
8, 53248, 6.377395209580839e-07
8, 26624, 3.1886976047904194e-07
16, 26624, 6.377395209580839e-07
16, 13312, 3.1886976047904194e-07
32, 13312, 6.377395209580839e-07
32, 6656, 3.1886976047904194e-07
64, 6656, 6.377395209580839e-07
64, 3328, 3.1886976047904194e-07
128, 3328, 6.377395209580839e-07
128, 1664, 3.1886976047904194e-07
256, 1664, 6.377395209580839e-07
256, 832, 3.1886976047904194e-07
512, 832, 6.377395209580839e-07
512, 416, 3.1886976047904194e-07
768, 53248, 5.9383360778443115e-05
768, 26624, 2.9703944610778442e-05
768, 13312, 1.4864236526946107e-05
768, 6656, 7.432118263473054e-06
768, 3328, 3.728323353293413e-06
768, 1664, 1.8641616766467065e-06
768, 832, 9.320808383233532e-07
768, 416, 4.660404191616766e-07
513, 53248, 3.966249251497006e-05
513, 26624, 1.9843510479041917e-05
513, 13312, 9.934019461077843e-06
513, 6656, 4.979273952095808e-06
513, 3328, 2.5019011976047906e-06
513, 1664, 1.2509505988023953e-06
513, 832, 6.377395209580839e-07
513, 416, 3.1886976047904194e-07
514, 53248, 3.9736077844311374e-05
514, 26624, 1.9868038922155687e-05
514, 13312, 9.934019461077843e-06
514, 6656, 4.979273952095808e-06
514, 3328, 2.5019011976047906e-06
514, 1664, 1.2509505988023953e-06
514, 832, 6.377395209580839e-07
514, 416, 3.1886976047904194e-07
516, 53248, 3.990777694610779e-05
516, 26624, 1.996615269461078e-05
516, 13312, 9.98307634730539e-06
516, 6656, 5.003802395209581e-06
516, 3328, 2.5019011976047906e-06
516, 1664, 1.2509505988023953e-06
516, 832, 6.377395209580839e-07
516, 416, 3.1886976047904194e-07
520, 53248, 4.020211826347305e-05
520, 26624, 2.0113323353293413e-05
520, 13312, 1.0056661676646706e-05
520, 6656, 5.028330838323353e-06
520, 3328, 2.5264296407185626e-06
520, 1664, 1.2754790419161678e-06
520, 832, 6.377395209580839e-07
520, 416, 3.1886976047904194e-07
528, 53248, 4.081532934131737e-05
528, 26624, 2.0407664670658684e-05
528, 13312, 1.0203832335329342e-05
528, 6656, 5.101916167664671e-06
528, 3328, 2.5509580838323356e-06
528, 1664, 1.2754790419161678e-06
528, 832, 6.377395209580839e-07
528, 416, 3.1886976047904194e-07
544, 53248, 4.2066279940119764e-05
544, 26624, 2.1045404191616767e-05
544, 13312, 1.0522702095808383e-05
544, 6656, 5.273615269461078e-06
544, 3328, 2.649071856287425e-06
544, 1664, 1.3245359281437126e-06
544, 832, 6.622679640718563e-07
544, 416, 3.4339820359281434e-07
576, 53248, 4.454365269461078e-05
576, 26624, 2.227182634730539e-05
576, 13312, 1.1135913173652695e-05
576, 6656, 5.567956586826347e-06
576, 3328, 2.7962425149700597e-06
576, 1664, 1.3981212574850298e-06
576, 832, 7.113248502994012e-07
576, 416, 3.6792664670658683e-07
640, 53248, 4.9473869760479044e-05
640, 26624, 2.4749199101796407e-05
640, 13312, 1.238686377245509e-05
640, 6656, 6.2056961077844305e-06
640, 3328, 3.1151122754491017e-06
640, 1664, 1.5698203592814373e-06
640, 832, 7.849101796407187e-07
640, 416, 3.9245508982035933e-07
1024, 53248, 7.917781437125749e-05
1024, 26624, 3.958890718562874e-05
1024, 13312, 1.979445359281437e-05
1024, 6656, 9.909491017964072e-06
1024, 3328, 4.954745508982036e-06
1024, 1664, 2.477372754491018e-06
1024, 832, 1.2509505988023953e-06
1024, 416, 6.377395209580839e-07
