B, M, K, N, latency
1, 192, 16384, 53248, 0.0004940560696788242
1, 192, 53248, 16384, 0.0005049804028307022
1, 12, 16384, 8192, 7.339629831246598e-05
1, 12, 16384, 1024, 9.408274360370169e-06
4, 16, 128, 1, 4.7569444444444446e-09
4, 16, 1, 128, 3.327345309381238e-08
4, 16, 128, 2, 3.706895867356197e-08
4, 16, 2, 128, 3.3817818907639273e-08
4, 16, 128, 4, 3.820977363454908e-08
4, 16, 4, 128, 3.4362184721466155e-08
4, 16, 128, 8, 3.9402671928869535e-08
4, 16, 8, 128, 3.599528216294683e-08
4, 16, 128, 16, 4.342156595899111e-08
4, 16, 16, 128, 3.708401379060062e-08
4, 16, 128, 32, 5.037062239158048e-08
4, 16, 32, 128, 4.742696425331156e-08
4, 16, 128, 64, 6.426873525675921e-08
4, 16, 64, 128, 6.266920704046452e-08
4, 16, 128, 128, 7.08346942478679e-08
4, 16, 128, 256, 1.422137543095627e-07
4, 16, 256, 128, 1.4051351841771004e-07
4, 16, 128, 512, 2.2890219560878244e-07
4, 16, 512, 128, 2.3142260932680096e-07
4, 16, 128, 1024, 3.9030303030303035e-07
4, 16, 1024, 128, 3.925548902195609e-07
4, 16, 128, 2048, 7.13104699691526e-07
4, 16, 2048, 128, 7.148194520050808e-07
4, 16, 128, 4096, 1.3587080384685176e-06
4, 16, 4096, 128, 1.3593485755761204e-06
4, 16, 128, 8192, 2.649914716022501e-06
4, 16, 8192, 128, 2.6484068227182e-06
4, 16, 128, 16384, 5.2323280711304665e-06
4, 16, 16384, 128, 5.226523317002359e-06
4, 16, 128, 32768, 1.0395521683904918e-05
4, 16, 32768, 128, 1.0382756305570678e-05
4, 16, 128, 65536, 2.0685980765741247e-05
4, 16, 65536, 128, 2.0668548357829795e-05
4, 16, 128, 131072, 4.1205929958265284e-05
4, 16, 131072, 128, 4.122380148793323e-05
1, 12, 8192, 16384, 7.327163854109962e-05
1, 12, 16384, 26624, 0.00023785574305933588
1, 12, 26624, 16384, 0.00023833315187806207
1, 24, 16384, 8192, 7.376810016330975e-05
1, 24, 16384, 1024, 9.60424605334785e-06
1, 24, 8192, 16384, 7.35204137180185e-05
1, 24, 16384, 26624, 0.00023869787697332608
1, 24, 26624, 16384, 0.000239323897659227
1, 48, 16384, 8192, 7.448013064779532e-05
1, 48, 16384, 1024, 9.973870440936308e-06
1, 48, 8192, 16384, 7.401905280348394e-05
1, 48, 16384, 26624, 0.00024006423516603157
1, 48, 26624, 16384, 0.00024122427871529667
1, 96, 16384, 8192, 7.562384322264562e-05
1, 96, 16384, 1024, 1.0548176374523679e-05
1, 96, 8192, 16384, 7.473816004354927e-05
1, 96, 16384, 26624, 0.0002426701143168209
1, 96, 26624, 16384, 0.00024550136091453455
1, 192, 16384, 8192, 7.939738704409363e-05
1, 192, 16384, 1024, 1.2271638541099619e-05
4, 1024, 128, 64, 5.748212665577935e-07
4, 1024, 64, 128, 5.437633823262566e-07
1, 192, 8192, 16384, 7.764670658682634e-05
1, 192, 16384, 26624, 0.0002490304844855743
1, 192, 26624, 16384, 0.00025724442025040826
1, 24, 16384, 4096, 3.711703864997278e-05
1, 24, 16384, 512, 4.952095808383234e-06
2, 16, 128, 1, 2.3784722222222223e-09
2, 16, 1, 128, 3.050686505776326e-08
2, 16, 128, 2, 3.213494412689772e-08
2, 16, 2, 128, 3.105123087159015e-08
2, 16, 128, 4, 3.3241036865662614e-08
2, 16, 4, 128, 3.1595596685417047e-08
2, 16, 128, 8, 3.3820124901711724e-08
2, 16, 8, 128, 3.2139962499243935e-08
2, 16, 128, 16, 3.606703260146374e-08
2, 16, 16, 128, 3.377305994072461e-08
2, 16, 128, 32, 3.947211637331398e-08
2, 16, 32, 128, 3.486179156837839e-08
2, 16, 128, 64, 4.682664973084135e-08
2, 16, 64, 128, 4.5204742031089336e-08
2, 16, 128, 128, 6.04469848182423e-08
2, 16, 128, 256, 8.932075243452488e-08
2, 16, 256, 128, 6.861247202564568e-08
2, 16, 128, 512, 1.3999153208734048e-07
2, 16, 512, 128, 1.3500272182906913e-07
2, 16, 128, 1024, 2.2772394604729932e-07
2, 16, 1024, 128, 2.2920038710457873e-07
2, 16, 128, 2048, 3.8903526280771787e-07
2, 16, 2048, 128, 3.903326679973387e-07
2, 16, 128, 4096, 7.11657896328555e-07
2, 16, 4096, 128, 7.125972297828585e-07
2, 16, 128, 8192, 1.3569031633702292e-06
2, 16, 8192, 128, 1.3571263533538983e-06
2, 16, 128, 16384, 2.6473936974535774e-06
2, 16, 16384, 128, 2.646184600495978e-06
2, 16, 128, 32768, 5.228374765620274e-06
2, 16, 32768, 128, 5.224301094780137e-06
2, 16, 128, 65536, 1.0390336901953669e-05
2, 16, 65536, 128, 1.0380534083348455e-05
2, 16, 128, 131072, 2.0678877396721708e-05
2, 16, 131072, 128, 2.0666326135607573e-05
1, 24, 4096, 16384, 3.697005988023952e-05
1, 24, 16384, 13312, 0.00011958192705498095
1, 24, 13312, 16384, 0.00011973053892215569
1, 48, 16384, 4096, 3.767229178007621e-05
1, 48, 16384, 512, 5.256396298312466e-06
1, 48, 4096, 16384, 3.7296679368535654e-05
1, 48, 16384, 13312, 0.0001204899292324442
1, 48, 13312, 16384, 0.00012062329885683179
1, 96, 16384, 4096, 3.850244964616222e-05
1, 96, 16384, 512, 5.942297223734349e-06
1, 96, 4096, 16384, 3.801578660860098e-05
1, 96, 16384, 13312, 0.00012202558519324987
1, 96, 13312, 16384, 0.00012231518780620576
1, 192, 16384, 4096, 4.170114316820904e-05
1, 192, 16384, 512, 7.086554164398476e-06
2, 1024, 128, 64, 3.6435250710699815e-07
2, 1024, 64, 128, 2.9538982640779046e-07
1, 192, 4096, 16384, 4.08138268916712e-05
1, 192, 16384, 13312, 0.00012651769188894938
1, 192, 13312, 16384, 0.00012967991290146978
1, 48, 16384, 256, 2.8813282525857375e-06
1, 16, 128, 1, 1.1892361111111111e-09
1, 16, 1, 128, 2.8851388132825257e-08
1, 16, 128, 2, 2.994011976047904e-08
1, 16, 2, 128, 2.939575394665215e-08
1, 16, 128, 4, 3.0484485574305937e-08
1, 16, 4, 128, 2.994011976047904e-08
1, 16, 128, 8, 3.1028851388132825e-08
1, 16, 8, 128, 3.0484485574305937e-08
1, 16, 128, 16, 3.211758301578661e-08
1, 16, 16, 128, 3.1028851388132825e-08
1, 16, 128, 32, 3.375068045726728e-08
1, 16, 32, 128, 3.26619488296135e-08
1, 16, 128, 64, 3.429504627109418e-08
1, 16, 64, 128, 3.375068045726728e-08
1, 16, 128, 128, 4.4093630919978226e-08
1, 16, 128, 256, 5.988023952095808e-08
1, 16, 256, 128, 5.9335873707131194e-08
1, 16, 128, 512, 8.873162765378335e-08
1, 16, 512, 128, 6.750136091453456e-08
1, 16, 128, 1024, 1.4207947740881873e-07
1, 16, 1024, 128, 1.371801850843767e-07
1, 16, 128, 2048, 2.297223734349483e-07
1, 16, 2048, 128, 2.2808927599346762e-07
1, 16, 128, 4096, 3.9085465432770824e-07
1, 16, 4096, 128, 3.8922155688622756e-07
1, 16, 128, 8192, 7.131192161132281e-07
1, 16, 8192, 128, 7.114861186717474e-07
1, 16, 128, 16384, 1.3576483396842678e-06
1, 16, 16384, 128, 1.3560152422427872e-06
1, 16, 128, 32768, 2.646706586826347e-06
1, 16, 32768, 128, 2.6450734893848665e-06
1, 16, 128, 65536, 5.224823081110506e-06
1, 16, 65536, 128, 5.223189983669026e-06
