M, N, latency
516, 14336, 7.162305389221557e-06
516, 7168, 3.5811526946107783e-06
516, 3584, 1.79875249500998e-06
516, 1792, 8.9937624750499e-07
516, 896, 4.5786427145708585e-07
520, 28672, 1.4439076846307385e-05
520, 14336, 7.227714570858283e-06
520, 7168, 3.6138572854291414e-06
520, 3584, 1.8151047904191617e-06
520, 1792, 9.157285429141717e-07
520, 896, 4.5786427145708585e-07
528, 28672, 1.4651656686626747e-05
528, 14336, 7.325828343313374e-06
528, 7168, 3.662914171656687e-06
528, 3584, 1.8314570858283434e-06
528, 1792, 9.157285429141717e-07
528, 896, 4.5786427145708585e-07
544, 28672, 1.5109520958083832e-05
544, 14336, 7.554760479041916e-06
544, 7168, 3.777380239520958e-06
544, 3584, 1.89686626746507e-06
544, 1792, 9.48433133732535e-07
544, 896, 4.742165668662675e-07
576, 28672, 1.599254491017964e-05
576, 14336, 7.99627245508982e-06
576, 7168, 4.006312375249501e-06
576, 3584, 2.0113323353293414e-06
576, 1792, 1.0138423153692615e-06
576, 896, 5.069211576846307e-07
640, 28672, 1.7774945109780438e-05
640, 14336, 8.89564870259481e-06
640, 7168, 4.447824351297405e-06
640, 3584, 2.2239121756487025e-06
640, 1792, 1.1119560878243513e-06
640, 896, 5.559780439121756e-07
1024, 28672, 2.8420289421157683e-05
1024, 14336, 1.4210144710578841e-05
1024, 7168, 7.1132485029940125e-06
1024, 3584, 3.564800399201597e-06
1024, 1792, 1.7824001996007984e-06
1024, 896, 8.9937624750499e-07
1025, 28672, 2.845299401197605e-05
1025, 14336, 1.4226497005988025e-05
1025, 7168, 7.1132485029940125e-06
1025, 3584, 3.564800399201597e-06
1025, 1792, 1.7824001996007984e-06
1025, 896, 8.9937624750499e-07
1026, 28672, 2.848569860279441e-05
1026, 14336, 1.4242849301397205e-05
1026, 7168, 7.129600798403194e-06
1026, 3584, 3.564800399201597e-06
1026, 1792, 1.7824001996007984e-06
1026, 896, 8.9937624750499e-07
1028, 28672, 2.8534755489021957e-05
1028, 14336, 1.427555389221557e-05
1028, 7168, 7.145953093812375e-06
1028, 3584, 3.5811526946107783e-06
1028, 1792, 1.79875249500998e-06
1028, 896, 8.9937624750499e-07
1032, 28672, 2.8649221556886227e-05
1032, 14336, 1.4324610778443113e-05
1032, 7168, 7.162305389221557e-06
1032, 3584, 3.5811526946107783e-06
1032, 1792, 1.79875249500998e-06
1032, 896, 8.9937624750499e-07
1040, 28672, 2.886180139720559e-05
1040, 14336, 1.4439076846307385e-05
1040, 7168, 7.227714570858283e-06
1040, 3584, 3.6138572854291414e-06
1040, 1792, 1.8151047904191617e-06
1040, 896, 9.157285429141717e-07
1056, 28672, 2.9303313373253495e-05
1056, 14336, 1.4651656686626747e-05
1056, 7168, 7.325828343313374e-06
1056, 3584, 3.662914171656687e-06
1056, 1792, 1.8314570858283434e-06
1056, 896, 9.157285429141717e-07
1088, 28672, 3.0202689620758485e-05
1088, 14336, 1.5109520958083832e-05
1088, 7168, 7.554760479041916e-06
1088, 3584, 3.777380239520958e-06
1088, 1792, 1.89686626746507e-06
1088, 896, 9.48433133732535e-07
1152, 28672, 3.19687375249501e-05
1152, 14336, 1.599254491017964e-05
