M, N, latency
516, 14336, 1.1177305389221556e-05
516, 7168, 5.614171656686627e-06
516, 3584, 2.8070858283433135e-06
516, 1792, 1.429061876247505e-06
516, 896, 7.145309381237525e-07
520, 28672, 2.2558762475049898e-05
520, 14336, 1.1279381237524949e-05
520, 7168, 5.665209580838323e-06
520, 3584, 2.85812375249501e-06
520, 1792, 1.429061876247505e-06
520, 896, 7.145309381237525e-07
528, 28672, 2.286499001996008e-05
528, 14336, 1.143249500998004e-05
528, 7168, 5.71624750499002e-06
528, 3584, 2.85812375249501e-06
528, 1792, 1.429061876247505e-06
528, 896, 7.145309381237525e-07
544, 28672, 2.3579520958083834e-05
544, 14336, 1.1789760479041917e-05
544, 7168, 5.920399201596806e-06
544, 3584, 2.960199600798403e-06
544, 1792, 1.4800998003992015e-06
544, 896, 7.655688622754491e-07
576, 28672, 2.495754491017964e-05
576, 14336, 1.2504291417165668e-05
576, 7168, 6.2776646706586825e-06
576, 3584, 3.1643512974051896e-06
576, 1792, 1.5821756487025948e-06
576, 896, 8.166067864271457e-07
640, 28672, 2.7764630738522955e-05
640, 14336, 1.3882315369261478e-05
640, 7168, 6.941157684630739e-06
640, 3584, 3.4705788423153694e-06
640, 1792, 1.7352894211576847e-06
640, 896, 8.676447105788423e-07
1024, 28672, 4.4351956087824345e-05
1024, 14336, 2.2201497005988028e-05
1024, 7168, 1.112626746506986e-05
1024, 3584, 5.56313373253493e-06
1024, 1792, 2.8070858283433135e-06
1024, 896, 1.429061876247505e-06
1025, 28672, 4.4402994011976055e-05
1025, 14336, 2.2201497005988028e-05
1025, 7168, 1.112626746506986e-05
1025, 3584, 5.56313373253493e-06
1025, 1792, 2.8070858283433135e-06
1025, 896, 1.429061876247505e-06
1026, 28672, 4.4454031936127745e-05
1026, 14336, 2.225253493013972e-05
1026, 7168, 1.112626746506986e-05
1026, 3584, 5.56313373253493e-06
1026, 1792, 2.8070858283433135e-06
1026, 896, 1.429061876247505e-06
1028, 28672, 4.455610778443114e-05
1028, 14336, 2.2303572854291414e-05
1028, 7168, 1.1177305389221556e-05
1028, 3584, 5.614171656686627e-06
1028, 1792, 2.8070858283433135e-06
1028, 896, 1.429061876247505e-06
1032, 28672, 4.470922155688622e-05
1032, 14336, 2.235461077844311e-05
1032, 7168, 1.1177305389221556e-05
1032, 3584, 5.614171656686627e-06
1032, 1792, 2.8070858283433135e-06
1032, 896, 1.429061876247505e-06
1040, 28672, 4.50664870259481e-05
1040, 14336, 2.2558762475049898e-05
1040, 7168, 1.1279381237524949e-05
1040, 3584, 5.665209580838323e-06
1040, 1792, 2.85812375249501e-06
1040, 896, 1.429061876247505e-06
1056, 28672, 4.572998003992016e-05
1056, 14336, 2.286499001996008e-05
1056, 7168, 1.143249500998004e-05
1056, 3584, 5.71624750499002e-06
1056, 1792, 2.85812375249501e-06
1056, 896, 1.429061876247505e-06
1088, 28672, 4.715904191616767e-05
1088, 14336, 2.3579520958083834e-05
1088, 7168, 1.1789760479041917e-05
1088, 3584, 5.920399201596806e-06
1088, 1792, 2.960199600798403e-06
1088, 896, 1.4800998003992015e-06
1152, 28672, 4.991508982035928e-05
1152, 14336, 2.495754491017964e-05
1152, 7168, 1.2504291417165668e-05
1152, 3584, 6.2776646706586825e-06
1152, 1792, 3.1643512974051896e-06
1152, 896, 1.5821756487025948e-06
1280, 28672, 5.5478223552894214e-05
1280, 14336, 2.7764630738522955e-05
1280, 7168, 1.3882315369261478e-05
1280, 3584, 6.941157684630739e-06
1280, 1792, 3.4705788423153694e-06
1280, 896, 1.7352894211576847e-06
1536, 28672, 6.655345309381237e-05
1536, 14336, 3.3276726546906186e-05
1536, 7168, 1.6638363273453093e-05
1536, 3584, 8.319181636726547e-06
1536, 1792, 4.185109780439122e-06
1536, 896, 2.092554890219561e-06
2049, 28672, 8.87549500998004e-05
2049, 14336, 4.4402994011976055e-05
2049, 7168, 2.2201497005988028e-05
2049, 3584, 1.112626746506986e-05
2049, 1792, 5.56313373253493e-06
2049, 896, 2.8070858283433135e-06
2050, 28672, 8.880598802395211e-05
2050, 14336, 4.4402994011976055e-05
2050, 7168, 2.2201497005988028e-05
2050, 3584, 1.112626746506986e-05
2050, 1792, 5.56313373253493e-06
2050, 896, 2.8070858283433135e-06
2052, 28672, 8.890806387225549e-05
2052, 14336, 4.4454031936127745e-05
2052, 7168, 2.225253493013972e-05
2052, 3584, 1.112626746506986e-05
2052, 1792, 5.56313373253493e-06
2052, 896, 2.8070858283433135e-06
2056, 28672, 8.906117764471058e-05
2056, 14336, 4.455610778443114e-05
2056, 7168, 2.2303572854291414e-05
2056, 3584, 1.1177305389221556e-05
2056, 1792, 5.614171656686627e-06
2056, 896, 2.8070858283433135e-06
2064, 28672, 8.941844311377244e-05
2064, 14336, 4.470922155688622e-05
2064, 7168, 2.235461077844311e-05
2064, 3584, 1.1177305389221556e-05
2064, 1792, 5.614171656686627e-06
2064, 896, 2.8070858283433135e-06
2080, 28672, 9.008193612774452e-05
2080, 14336, 4.50664870259481e-05
2080, 7168, 2.2558762475049898e-05
2080, 3584, 1.1279381237524949e-05
2080, 1792, 5.665209580838323e-06
2080, 896, 2.85812375249501e-06
2112, 28672, 9.145996007984032e-05
2112, 14336, 4.572998003992016e-05
2112, 7168, 2.286499001996008e-05
2112, 3584, 1.143249500998004e-05
2112, 1792, 5.71624750499002e-06
2112, 896, 2.85812375249501e-06
2176, 28672, 9.426704590818364e-05
2176, 14336, 4.715904191616767e-05
2176, 7168, 2.3579520958083834e-05
2176, 3584, 1.1789760479041917e-05
2176, 1792, 5.920399201596806e-06
2176, 896, 2.960199600798403e-06
2304, 28672, 9.977914171656686e-05
2304, 14336, 4.991508982035928e-05
2304, 7168, 2.495754491017964e-05
2304, 3584, 1.2504291417165668e-05
2304, 1792, 6.2776646706586825e-06
2304, 896, 3.1643512974051896e-06
2560, 28672, 0.00011090540918163673
2560, 14336, 5.5478223552894214e-05
2560, 7168, 2.7764630738522955e-05
2560, 3584, 1.3882315369261478e-05
2560, 1792, 6.941157684630739e-06
2560, 896, 3.4705788423153694e-06
9, 53248, 7.655688622754491e-07
17, 53248, 1.3780239520958084e-06
33, 53248, 2.6539720558882236e-06
65, 53248, 5.2569061876247504e-06
129, 53248, 1.0411736526946107e-05
257, 53248, 2.0670359281437124e-05
17, 26624, 7.145309381237525e-07
33, 26624, 1.3269860279441118e-06
65, 26624, 2.6539720558882236e-06
129, 26624, 5.205868263473054e-06
257, 26624, 1.036069860279441e-05
33, 13312, 6.634930139720559e-07
65, 13312, 1.3269860279441118e-06
129, 13312, 2.602934131736527e-06
257, 13312, 5.205868263473054e-06
65, 6656, 6.634930139720559e-07
129, 6656, 1.3269860279441118e-06
257, 6656, 2.602934131736527e-06
129, 3328, 6.634930139720559e-07
257, 3328, 1.3269860279441118e-06
257, 1664, 6.634930139720559e-07
3, 53248, 2.55189620758483e-07
5, 53248, 4.0830339321357284e-07
5, 26624, 2.0415169660678642e-07
9, 26624, 4.0830339321357284e-07
9, 13312, 2.0415169660678642e-07
17, 13312, 3.5726546906187623e-07
17, 6656, 2.0415169660678642e-07
33, 6656, 3.5726546906187623e-07
33, 3328, 2.0415169660678642e-07
65, 3328, 3.5726546906187623e-07
65, 1664, 2.0415169660678642e-07
129, 1664, 3.5726546906187623e-07
129, 832, 2.0415169660678642e-07
257, 832, 3.5726546906187623e-07
257, 416, 2.0415169660678642e-07
258, 53248, 2.0772435129740518e-05
258, 26624, 1.0411736526946107e-05
258, 13312, 5.205868263473054e-06
258, 6656, 2.602934131736527e-06
258, 3328, 1.3269860279441118e-06
258, 1664, 6.634930139720559e-07
258, 832, 3.5726546906187623e-07
258, 416, 2.0415169660678642e-07
130, 53248, 1.0462774451097804e-05
260, 53248, 2.0925548902195608e-05
130, 26624, 5.2569061876247504e-06
260, 26624, 1.0462774451097804e-05
130, 13312, 2.6539720558882236e-06
260, 13312, 5.2569061876247504e-06
130, 6656, 1.3269860279441118e-06
260, 6656, 2.6539720558882236e-06
130, 3328, 6.634930139720559e-07
260, 3328, 1.3269860279441118e-06
260, 1664, 6.634930139720559e-07
130, 1664, 3.5726546906187623e-07
130, 832, 2.0415169660678642e-07
260, 832, 3.5726546906187623e-07
