64,32,256
64,1,1
64,64,256
64,128,256
64,256,256
32,64,256
32,128,256
32,256,256
16,128,256
16,256,256
8,256,256
64,8,256
64,16,256
32,16,256
32,32,256
16,32,256
16,64,256
8,64,256
8,128,256
4,128,256
4,256,256
2,256,256
64,1,2
64,1,4
64,1,8
64,1,16
64,1,32
64,1,64
64,1,128
64,1,256
64,1,512
64,1,1024
64,1,2048
64,1,4096
64,1,8192
64,1,16384
64,1,32768
64,64,512
64,128,512
64,256,512
64,512,512
32,128,512
32,256,512
32,512,512
16,256,512
16,512,512
8,512,512
64,16,512
64,32,512
32,32,512
32,64,512
16,64,512
16,128,512
8,128,512
8,256,512
4,256,512
4,512,512
2,512,512
64,128,1024
64,256,1024
64,512,1024
64,1024,1024
32,256,1024
32,512,1024
32,1024,1024
16,512,1024
16,1024,1024
8,1024,1024
64,32,1024
64,64,1024
32,64,1024
32,128,1024
16,128,1024
16,256,1024
8,256,1024
8,512,1024
4,512,1024
4,1024,1024
2,1024,1024
64,256,2048
64,512,2048
64,1024,2048
64,2048,2048
32,512,2048
32,1024,2048
32,2048,2048
16,1024,2048
16,2048,2048
8,2048,2048
64,64,2048
64,128,2048
32,128,2048
32,256,2048
16,256,2048
16,512,2048
8,512,2048
8,1024,2048
4,1024,2048
4,2048,2048
2,2048,2048
128,8,256
128,1,1
128,16,256
128,32,256
128,64,256
128,128,256
128,256,256
128,2,256
128,4,256
64,4,256
32,8,256
16,16,256
8,32,256
4,64,256
2,128,256
1,256,256
128,1,2
128,1,4
128,1,8
128,1,16
128,1,32
128,1,64
128,1,128
128,1,256
128,1,512
128,1,1024
128,1,2048
128,1,4096
128,1,8192
128,1,16384
128,1,32768
128,16,512
128,32,512
128,64,512
128,128,512
128,256,512
128,512,512
128,4,512
128,8,512
64,8,512
32,16,512
16,32,512
8,64,512
4,128,512
2,256,512
1,512,512
128,32,1024
128,64,1024
128,128,1024
128,256,1024
128,512,1024
128,1024,1024
128,8,1024
128,16,1024
64,16,1024
32,32,1024
16,64,1024
8,128,1024
4,256,1024
2,512,1024
1,1024,1024
128,64,2048
128,128,2048
128,256,2048
128,512,2048
128,1024,2048
128,2048,2048
128,16,2048
128,32,2048
64,32,2048
32,64,2048
16,128,2048
8,256,2048
4,512,2048
2,1024,2048
1,2048,2048
