M, N, latency
516, 14336, 1.6765958083832335e-05
516, 7168, 8.382979041916167e-06
516, 3584, 4.21062874251497e-06
516, 1792, 2.105314371257485e-06
516, 896, 1.0717964071856288e-06
520, 28672, 3.379986526946108e-05
520, 14336, 1.6919071856287425e-05
520, 7168, 8.459535928143713e-06
520, 3584, 4.248907185628743e-06
520, 1792, 2.1435928143712576e-06
520, 896, 1.0717964071856288e-06
528, 28672, 3.429748502994012e-05
528, 14336, 1.714874251497006e-05
528, 7168, 8.57437125748503e-06
528, 3584, 4.287185628742515e-06
528, 1792, 2.1435928143712576e-06
528, 896, 1.0717964071856288e-06
544, 28672, 3.536928143712575e-05
544, 14336, 1.7684640718562873e-05
544, 7168, 8.842320359281437e-06
544, 3584, 4.440299401197605e-06
544, 1792, 2.2201497005988023e-06
544, 896, 1.1100748502994012e-06
576, 28672, 3.743631736526946e-05
576, 14336, 1.871815868263473e-05
576, 7168, 9.378218562874251e-06
576, 3584, 4.708248502994012e-06
576, 1792, 2.3732634730538922e-06
576, 896, 1.1866317365269461e-06
640, 28672, 4.160866766467066e-05
640, 14336, 2.0823473053892215e-05
640, 7168, 1.0411736526946107e-05
640, 3584, 5.205868263473054e-06
640, 1792, 2.602934131736527e-06
640, 896, 1.3014670658682634e-06
1024, 28672, 6.652793413173653e-05
1024, 14336, 3.3263967065868265e-05
1024, 7168, 1.6651122754491017e-05
1024, 3584, 8.344700598802395e-06
1024, 1792, 4.1723502994011975e-06
1024, 896, 2.105314371257485e-06
1025, 28672, 6.660449101796407e-05
1025, 14336, 3.3302245508982034e-05
1025, 7168, 1.6651122754491017e-05
1025, 3584, 8.344700598802395e-06
1025, 1792, 4.1723502994011975e-06
1025, 896, 2.105314371257485e-06
1026, 28672, 6.668104790419162e-05
1026, 14336, 3.334052395209581e-05
1026, 7168, 1.668940119760479e-05
1026, 3584, 8.344700598802395e-06
1026, 1792, 4.1723502994011975e-06
1026, 896, 2.105314371257485e-06
1028, 28672, 6.679588323353294e-05
1028, 14336, 3.3417080838323356e-05
1028, 7168, 1.6727679640718562e-05
1028, 3584, 8.382979041916167e-06
1028, 1792, 4.21062874251497e-06
1028, 896, 2.105314371257485e-06
1032, 28672, 6.706383233532934e-05
1032, 14336, 3.353191616766467e-05
1032, 7168, 1.6765958083832335e-05
1032, 3584, 8.382979041916167e-06
1032, 1792, 4.21062874251497e-06
1032, 896, 2.105314371257485e-06
1040, 28672, 6.756145209580838e-05
1040, 14336, 3.379986526946108e-05
1040, 7168, 1.6919071856287425e-05
1040, 3584, 8.459535928143713e-06
1040, 1792, 4.248907185628743e-06
1040, 896, 2.1435928143712576e-06
1056, 28672, 6.859497005988024e-05
1056, 14336, 3.429748502994012e-05
1056, 7168, 1.714874251497006e-05
1056, 3584, 8.57437125748503e-06
1056, 1792, 4.287185628742515e-06
1056, 896, 2.1435928143712576e-06
1088, 28672, 7.070028443113772e-05
1088, 14336, 3.536928143712575e-05
1088, 7168, 1.7684640718562873e-05
1088, 3584, 8.842320359281437e-06
1088, 1792, 4.440299401197605e-06
1088, 896, 2.2201497005988023e-06
1152, 28672, 7.483435628742515e-05
1152, 14336, 3.743631736526946e-05
1152, 7168, 1.871815868263473e-05
1152, 3584, 9.378218562874251e-06
1152, 1792, 4.708248502994012e-06
1152, 896, 2.3732634730538922e-06
1280, 28672, 8.317905688622754e-05
1280, 14336, 4.160866766467066e-05
1280, 7168, 2.0823473053892215e-05
1280, 3584, 1.0411736526946107e-05
1280, 1792, 5.205868263473054e-06
1280, 896, 2.602934131736527e-06
1536, 28672, 9.979190119760479e-05
1536, 14336, 4.991508982035928e-05
1536, 7168, 2.495754491017964e-05
1536, 3584, 1.247877245508982e-05
1536, 1792, 6.23938622754491e-06
1536, 896, 3.1388323353293412e-06
2049, 28672, 0.0001331324251497006
2049, 14336, 6.65662125748503e-05
2049, 7168, 3.3302245508982034e-05
2049, 3584, 1.6651122754491017e-05
2049, 1792, 8.344700598802395e-06
2049, 896, 4.1723502994011975e-06
2050, 28672, 0.00013317070359281438
2050, 14336, 6.660449101796407e-05
2050, 7168, 3.3302245508982034e-05
2050, 3584, 1.6651122754491017e-05
2050, 1792, 8.344700598802395e-06
2050, 896, 4.1723502994011975e-06
2052, 28672, 0.00013332381736526946
2052, 14336, 6.668104790419162e-05
2052, 7168, 3.334052395209581e-05
2052, 3584, 1.668940119760479e-05
2052, 1792, 8.344700598802395e-06
2052, 896, 4.1723502994011975e-06
2056, 28672, 0.0001335534880239521
2056, 14336, 6.679588323353294e-05
2056, 7168, 3.3417080838323356e-05
2056, 3584, 1.6727679640718562e-05
2056, 1792, 8.382979041916167e-06
2056, 896, 4.21062874251497e-06
2064, 28672, 0.0001340893862275449
2064, 14336, 6.706383233532934e-05
2064, 7168, 3.353191616766467e-05
2064, 3584, 1.6765958083832335e-05
2064, 1792, 8.382979041916167e-06
2064, 896, 4.21062874251497e-06
2080, 28672, 0.00013512290419161676
2080, 14336, 6.756145209580838e-05
2080, 7168, 3.379986526946108e-05
2080, 3584, 1.6919071856287425e-05
2080, 1792, 8.459535928143713e-06
2080, 896, 4.248907185628743e-06
2112, 28672, 0.00013718994011976049
2112, 14336, 6.859497005988024e-05
2112, 7168, 3.429748502994012e-05
2112, 3584, 1.714874251497006e-05
2112, 1792, 8.57437125748503e-06
2112, 896, 4.287185628742515e-06
2176, 28672, 0.00014136229041916167
2176, 14336, 7.070028443113772e-05
2176, 7168, 3.536928143712575e-05
2176, 3584, 1.7684640718562873e-05
2176, 1792, 8.842320359281437e-06
2176, 896, 4.440299401197605e-06
2304, 28672, 0.0001496687125748503
2304, 14336, 7.483435628742515e-05
2304, 7168, 3.743631736526946e-05
2304, 3584, 1.871815868263473e-05
2304, 1792, 9.378218562874251e-06
2304, 896, 4.708248502994012e-06
2560, 28672, 0.00016631983532934132
2560, 14336, 8.317905688622754e-05
2560, 7168, 4.160866766467066e-05
2560, 3584, 2.0823473053892215e-05
2560, 1792, 1.0411736526946107e-05
2560, 896, 5.205868263473054e-06
9, 53248, 1.1100748502994012e-06
17, 53248, 2.0670359281437124e-06
33, 53248, 3.980958083832335e-06
65, 53248, 7.847080838323353e-06
129, 53248, 1.557932634730539e-05
257, 53248, 3.1005538922155687e-05
17, 26624, 1.0335179640718562e-06
33, 26624, 1.9904790419161677e-06
65, 26624, 3.942679640718563e-06
129, 26624, 7.80880239520958e-06
257, 26624, 1.5502769461077843e-05
33, 13312, 9.952395209580839e-07
65, 13312, 1.9904790419161677e-06
129, 13312, 3.90440119760479e-06
257, 13312, 7.77052395209581e-06
65, 6656, 9.952395209580839e-07
129, 6656, 1.952200598802395e-06
257, 6656, 3.90440119760479e-06
129, 3328, 9.952395209580839e-07
257, 3328, 1.952200598802395e-06
257, 1664, 9.952395209580839e-07
3, 53248, 3.8278443113772456e-07
5, 53248, 6.124550898203593e-07
5, 26624, 3.0622754491017967e-07
9, 26624, 5.741766467065869e-07
9, 13312, 3.0622754491017967e-07
17, 13312, 5.358982035928144e-07
17, 6656, 2.679491017964072e-07
33, 6656, 4.976197604790419e-07
33, 3328, 2.679491017964072e-07
65, 3328, 4.976197604790419e-07
65, 1664, 2.679491017964072e-07
129, 1664, 4.976197604790419e-07
129, 832, 2.679491017964072e-07
257, 832, 4.976197604790419e-07
257, 416, 2.679491017964072e-07
258, 53248, 3.115865269461078e-05
258, 26624, 1.557932634730539e-05
258, 13312, 7.80880239520958e-06
258, 6656, 3.90440119760479e-06
258, 3328, 1.952200598802395e-06
258, 1664, 9.952395209580839e-07
258, 832, 4.976197604790419e-07
258, 416, 2.679491017964072e-07
130, 53248, 1.5694161676646706e-05
260, 53248, 3.138832335329341e-05
130, 26624, 7.847080838323353e-06
260, 26624, 1.5694161676646706e-05
130, 13312, 3.942679640718563e-06
260, 13312, 7.847080838323353e-06
130, 6656, 1.9904790419161677e-06
260, 6656, 3.942679640718563e-06
130, 3328, 9.952395209580839e-07
260, 3328, 1.9904790419161677e-06
260, 1664, 9.952395209580839e-07
130, 1664, 4.976197604790419e-07
130, 832, 2.679491017964072e-07
260, 832, 4.976197604790419e-07
260, 416, 2.679491017964072e-07
66, 53248, 7.96191616766467e-06
132, 53248, 1.592383233532934e-05
264, 53248, 3.184766467065868e-05
66, 26624, 3.980958083832335e-06
132, 26624, 7.96191616766467e-06
264, 26624, 1.592383233532934e-05
66, 13312, 1.9904790419161677e-06
132, 13312, 3.980958083832335e-06
264, 13312, 7.96191616766467e-06
66, 6656, 9.952395209580839e-07
132, 6656, 1.9904790419161677e-06
264, 6656, 3.980958083832335e-06
132, 3328, 9.952395209580839e-07
264, 3328, 1.9904790419161677e-06
264, 1664, 9.952395209580839e-07
66, 3328, 4.976197604790419e-07
66, 1664, 2.679491017964072e-07
132, 1664, 4.976197604790419e-07
132, 832, 2.679491017964072e-07
264, 832, 4.976197604790419e-07
264, 416, 2.679491017964072e-07
34, 53248, 4.134071856287425e-06
68, 53248, 8.229865269461077e-06
136, 53248, 1.6421452095808385e-05
272, 53248, 3.284290419161677e-05
34, 26624, 2.0670359281437124e-06
68, 26624, 4.134071856287425e-06
136, 26624, 8.229865269461077e-06
272, 26624, 1.6421452095808385e-05
34, 13312, 1.0335179640718562e-06
68, 13312, 2.0670359281437124e-06
136, 13312, 4.134071856287425e-06
272, 13312, 8.229865269461077e-06
68, 6656, 1.0335179640718562e-06
136, 6656, 2.0670359281437124e-06
272, 6656, 4.134071856287425e-06
136, 3328, 1.0335179640718562e-06
272, 3328, 2.0670359281437124e-06
272, 1664, 1.0335179640718562e-06
34, 6656, 5.358982035928144e-07
34, 3328, 2.679491017964072e-07
68, 3328, 5.358982035928144e-07
68, 1664, 2.679491017964072e-07
136, 1664, 5.358982035928144e-07
136, 832, 2.679491017964072e-07
272, 832, 5.358982035928144e-07
272, 416, 2.679491017964072e-07
18, 53248, 2.18187125748503e-06
36, 53248, 4.36374251497006e-06
72, 53248, 8.689206586826348e-06
144, 53248, 1.7378413173652696e-05
288, 53248, 3.475682634730539e-05
18, 26624, 1.1100748502994012e-06
36, 26624, 2.18187125748503e-06
72, 26624, 4.36374251497006e-06
144, 26624, 8.689206586826348e-06
288, 26624, 1.7378413173652696e-05
36, 13312, 1.1100748502994012e-06
72, 13312, 2.18187125748503e-06
144, 13312, 4.36374251497006e-06
288, 13312, 8.689206586826348e-06
72, 6656, 1.1100748502994012e-06
144, 6656, 2.18187125748503e-06
288, 6656, 4.36374251497006e-06
144, 3328, 1.1100748502994012e-06
288, 3328, 2.18187125748503e-06
288, 1664, 1.1100748502994012e-06
18, 13312, 5.741766467065869e-07
18, 6656, 3.0622754491017967e-07
36, 6656, 5.741766467065869e-07
36, 3328, 3.0622754491017967e-07
72, 3328, 5.741766467065869e-07
72, 1664, 3.0622754491017967e-07
144, 1664, 5.741766467065869e-07
144, 832, 3.0622754491017967e-07
288, 832, 5.741766467065869e-07
288, 416, 3.0622754491017967e-07
10, 53248, 1.2249101796407187e-06
20, 53248, 2.4498203592814374e-06
40, 53248, 4.861362275449102e-06
80, 53248, 9.684446107784432e-06
160, 53248, 1.933061377245509e-05
320, 53248, 3.8622949101796406e-05
20, 26624, 1.2249101796407187e-06
40, 26624, 2.4498203592814374e-06
80, 26624, 4.861362275449102e-06
160, 26624, 9.684446107784432e-06
320, 26624, 1.933061377245509e-05
40, 13312, 1.2249101796407187e-06
80, 13312, 2.4498203592814374e-06
160, 13312, 4.861362275449102e-06
320, 13312, 9.684446107784432e-06
80, 6656, 1.2249101796407187e-06
160, 6656, 2.4498203592814374e-06
320, 6656, 4.861362275449102e-06
160, 3328, 1.2249101796407187e-06
320, 3328, 2.4498203592814374e-06
320, 1664, 1.2249101796407187e-06
10, 26624, 6.124550898203593e-07
10, 13312, 3.0622754491017967e-07
20, 13312, 6.124550898203593e-07
20, 6656, 3.0622754491017967e-07
40, 6656, 6.124550898203593e-07
40, 3328, 3.0622754491017967e-07
80, 3328, 6.124550898203593e-07
80, 1664, 3.0622754491017967e-07
160, 1664, 6.124550898203593e-07
160, 832, 3.0622754491017967e-07
320, 832, 6.124550898203593e-07
320, 416, 3.0622754491017967e-07
12, 53248, 1.4545808383233533e-06
24, 53248, 2.9091616766467066e-06
48, 53248, 5.818323353293413e-06
96, 53248, 1.1598368263473054e-05
192, 53248, 2.3196736526946108e-05
384, 53248, 4.6355194610778446e-05
24, 26624, 1.4545808383233533e-06
48, 26624, 2.9091616766467066e-06
96, 26624, 5.818323353293413e-06
192, 26624, 1.1598368263473054e-05
384, 26624, 2.3196736526946108e-05
48, 13312, 1.4545808383233533e-06
96, 13312, 2.9091616766467066e-06
192, 13312, 5.818323353293413e-06
384, 13312, 1.1598368263473054e-05
96, 6656, 1.4545808383233533e-06
192, 6656, 2.9091616766467066e-06
384, 6656, 5.818323353293413e-06
192, 3328, 1.4545808383233533e-06
384, 3328, 2.9091616766467066e-06
384, 1664, 1.4545808383233533e-06
6, 53248, 7.272904191616767e-07
6, 26624, 3.8278443113772456e-07
12, 26624, 7.272904191616767e-07
12, 13312, 3.8278443113772456e-07
24, 13312, 7.272904191616767e-07
24, 6656, 3.8278443113772456e-07
48, 6656, 7.272904191616767e-07
48, 3328, 3.8278443113772456e-07
96, 3328, 7.272904191616767e-07
96, 1664, 3.8278443113772456e-07
192, 1664, 7.272904191616767e-07
192, 832, 3.8278443113772456e-07
384, 832, 7.272904191616767e-07
384, 416, 3.8278443113772456e-07
16, 53248, 1.952200598802395e-06
32, 53248, 3.8661227544910185e-06
64, 53248, 7.732245508982037e-06
128, 53248, 1.5464491017964074e-05
256, 53248, 3.089070359281437e-05
512, 53248, 6.178140718562874e-05
