M, N, latency
516, 14336, 2.7850893617021275e-05
516, 7168, 1.3925446808510637e-05
516, 3584, 6.962723404255319e-06
516, 1792, 3.5121702127659575e-06
516, 896, 1.7868936170212764e-06
520, 28672, 5.6071489361702133e-05
520, 14336, 2.8035744680851067e-05
520, 7168, 1.404868085106383e-05
520, 3584, 7.024340425531915e-06
520, 1792, 3.5121702127659575e-06
520, 896, 1.7868936170212764e-06
528, 28672, 5.693412765957447e-05
528, 14336, 2.8467063829787234e-05
528, 7168, 1.4233531914893617e-05
528, 3584, 7.147574468085106e-06
528, 1792, 3.573787234042553e-06
528, 896, 1.7868936170212764e-06
544, 28672, 5.865940425531915e-05
544, 14336, 2.9329702127659575e-05
544, 7168, 1.4664851063829787e-05
544, 3584, 7.332425531914894e-06
544, 1792, 3.6970212765957446e-06
544, 896, 1.8485106382978723e-06
576, 28672, 6.210995744680852e-05
576, 14336, 3.105497872340426e-05
576, 7168, 1.552748936170213e-05
576, 3584, 7.763744680851065e-06
576, 1792, 3.8818723404255325e-06
576, 896, 1.971744680851064e-06
640, 28672, 6.901106382978723e-05
640, 14336, 3.450553191489362e-05
640, 7168, 1.725276595744681e-05
640, 3584, 8.626382978723404e-06
640, 1792, 4.313191489361702e-06
640, 896, 2.156595744680851e-06
1024, 28672, 0.00011041770212765957
1024, 14336, 5.5208851063829786e-05
1024, 7168, 2.7604425531914893e-05
1024, 3584, 1.3802212765957446e-05
1024, 1792, 6.901106382978723e-06
1024, 896, 3.4505531914893616e-06
1025, 28672, 0.00011054093617021277
1025, 14336, 5.5270468085106385e-05
1025, 7168, 2.766604255319149e-05
1025, 3584, 1.3863829787234043e-05
1025, 1792, 6.962723404255319e-06
1025, 896, 3.5121702127659575e-06
1026, 28672, 0.00011066417021276596
1026, 14336, 5.533208510638298e-05
1026, 7168, 2.766604255319149e-05
1026, 3584, 1.3863829787234043e-05
1026, 1792, 6.962723404255319e-06
1026, 896, 3.5121702127659575e-06
1028, 28672, 0.00011084902127659574
1028, 14336, 5.545531914893617e-05
1028, 7168, 2.7727659574468085e-05
1028, 3584, 1.3863829787234043e-05
1028, 1792, 6.962723404255319e-06
1028, 896, 3.5121702127659575e-06
1032, 28672, 0.0001112803404255319
1032, 14336, 5.564017021276595e-05
1032, 7168, 2.7850893617021275e-05
1032, 3584, 1.3925446808510637e-05
1032, 1792, 6.962723404255319e-06
1032, 896, 3.5121702127659575e-06
1040, 28672, 0.00011214297872340427
1040, 14336, 5.6071489361702133e-05
1040, 7168, 2.8035744680851067e-05
1040, 3584, 1.404868085106383e-05
1040, 1792, 7.024340425531915e-06
1040, 896, 3.5121702127659575e-06
1056, 28672, 0.00011386825531914894
1056, 14336, 5.693412765957447e-05
1056, 7168, 2.8467063829787234e-05
1056, 3584, 1.4233531914893617e-05
1056, 1792, 7.147574468085106e-06
1056, 896, 3.573787234042553e-06
1088, 28672, 0.0001173188085106383
1088, 14336, 5.865940425531915e-05
1088, 7168, 2.9329702127659575e-05
1088, 3584, 1.4664851063829787e-05
1088, 1792, 7.332425531914894e-06
1088, 896, 3.6970212765957446e-06
1152, 28672, 0.00012421991489361704
1152, 14336, 6.210995744680852e-05
1152, 7168, 3.105497872340426e-05
1152, 3584, 1.552748936170213e-05
1152, 1792, 7.763744680851065e-06
1152, 896, 3.8818723404255325e-06
1280, 28672, 0.00013802212765957447
1280, 14336, 6.901106382978723e-05
1280, 7168, 3.450553191489362e-05
1280, 3584, 1.725276595744681e-05
1280, 1792, 8.626382978723404e-06
1280, 896, 4.313191489361702e-06
1536, 28672, 0.00016562655319148935
1536, 14336, 8.281327659574468e-05
1536, 7168, 4.140663829787234e-05
1536, 3584, 2.070331914893617e-05
1536, 1792, 1.0351659574468084e-05
1536, 896, 5.175829787234042e-06
2049, 28672, 0.00022095863829787234
2049, 14336, 0.00011047931914893617
2049, 7168, 5.5270468085106385e-05
2049, 3584, 2.766604255319149e-05
2049, 1792, 1.3863829787234043e-05
2049, 896, 6.962723404255319e-06
2050, 28672, 0.00022108187234042554
2050, 14336, 0.00011054093617021277
2050, 7168, 5.5270468085106385e-05
2050, 3584, 2.766604255319149e-05
2050, 1792, 1.3863829787234043e-05
2050, 896, 6.962723404255319e-06
2052, 28672, 0.00022126672340425533
2052, 14336, 0.00011066417021276596
2052, 7168, 5.533208510638298e-05
2052, 3584, 2.766604255319149e-05
2052, 1792, 1.3863829787234043e-05
2052, 896, 6.962723404255319e-06
2056, 28672, 0.00022169804255319148
2056, 14336, 0.00011084902127659574
2056, 7168, 5.545531914893617e-05
2056, 3584, 2.7727659574468085e-05
2056, 1792, 1.3863829787234043e-05
2056, 896, 6.962723404255319e-06
2064, 28672, 0.0002225606808510638
2064, 14336, 0.0001112803404255319
2064, 7168, 5.564017021276595e-05
2064, 3584, 2.7850893617021275e-05
2064, 1792, 1.3925446808510637e-05
2064, 896, 6.962723404255319e-06
2080, 28672, 0.00022428595744680853
2080, 14336, 0.00011214297872340427
2080, 7168, 5.6071489361702133e-05
2080, 3584, 2.8035744680851067e-05
2080, 1792, 1.404868085106383e-05
2080, 896, 7.024340425531915e-06
2112, 28672, 0.00022773651063829787
2112, 14336, 0.00011386825531914894
2112, 7168, 5.693412765957447e-05
2112, 3584, 2.8467063829787234e-05
2112, 1792, 1.4233531914893617e-05
2112, 896, 7.147574468085106e-06
2176, 28672, 0.0002346376170212766
2176, 14336, 0.0001173188085106383
2176, 7168, 5.865940425531915e-05
2176, 3584, 2.9329702127659575e-05
2176, 1792, 1.4664851063829787e-05
2176, 896, 7.332425531914894e-06
2304, 28672, 0.0002484398297872341
2304, 14336, 0.00012421991489361704
2304, 7168, 6.210995744680852e-05
2304, 3584, 3.105497872340426e-05
2304, 1792, 1.552748936170213e-05
2304, 896, 7.763744680851065e-06
2560, 28672, 0.00027604425531914894
2560, 14336, 0.00013802212765957447
2560, 7168, 6.901106382978723e-05
2560, 3584, 3.450553191489362e-05
2560, 1792, 1.725276595744681e-05
2560, 896, 8.626382978723404e-06
9, 53248, 1.8485106382978723e-06
17, 53248, 3.4505531914893616e-06
33, 53248, 6.654638297872341e-06
65, 53248, 1.3062808510638298e-05
129, 53248, 2.5879148936170214e-05
257, 53248, 5.1511829787234044e-05
17, 26624, 1.7252765957446808e-06
33, 26624, 3.3273191489361704e-06
65, 26624, 6.531404255319149e-06
129, 26624, 1.2939574468085107e-05
257, 26624, 2.5755914893617022e-05
33, 13312, 1.6636595744680852e-06
65, 13312, 3.2657021276595745e-06
129, 13312, 6.469787234042554e-06
257, 13312, 1.2877957446808511e-05
65, 6656, 1.6636595744680852e-06
129, 6656, 3.2657021276595745e-06
257, 6656, 6.469787234042554e-06
129, 3328, 1.6636595744680852e-06
257, 3328, 3.2657021276595745e-06
257, 1664, 1.6636595744680852e-06
3, 53248, 6.161702127659574e-07
5, 53248, 1.0474893617021276e-06
5, 26624, 5.545531914893617e-07
9, 26624, 9.242553191489361e-07
9, 13312, 4.92936170212766e-07
17, 13312, 8.626382978723404e-07
17, 6656, 4.313191489361702e-07
33, 6656, 8.626382978723404e-07
33, 3328, 4.313191489361702e-07
65, 3328, 8.626382978723404e-07
65, 1664, 4.313191489361702e-07
129, 1664, 8.626382978723404e-07
129, 832, 4.313191489361702e-07
257, 832, 8.626382978723404e-07
257, 416, 4.313191489361702e-07
258, 53248, 5.169668085106383e-05
258, 26624, 2.5879148936170214e-05
258, 13312, 1.2939574468085107e-05
258, 6656, 6.469787234042554e-06
258, 3328, 3.2657021276595745e-06
258, 1664, 1.6636595744680852e-06
258, 832, 8.626382978723404e-07
258, 416, 4.313191489361702e-07
130, 53248, 2.6064e-05
260, 53248, 5.20663829787234e-05
130, 26624, 1.3062808510638298e-05
260, 26624, 2.6064e-05
130, 13312, 6.531404255319149e-06
260, 13312, 1.3062808510638298e-05
130, 6656, 3.2657021276595745e-06
260, 6656, 6.531404255319149e-06
130, 3328, 1.6636595744680852e-06
260, 3328, 3.2657021276595745e-06
260, 1664, 1.6636595744680852e-06
130, 1664, 8.626382978723404e-07
130, 832, 4.313191489361702e-07
260, 832, 8.626382978723404e-07
260, 416, 4.313191489361702e-07
66, 53248, 1.3247659574468085e-05
