device_count, prefill_len, fc_latency, attn_latency, other_latency, total_latency, allreduce_latency, fc_roofline, attn_roofline
24, 512, 0.0001331056069678824, 2.193104699691526e-06, 1.1900199600798403e-05, 0.0001471989112683723, 0.00016493173333333335, 7.727381600435492e-05, 8.533333333333334e-07
24, 1024, 0.00024818508437670115, 7.295068045726728e-06, 2.7842859735075305e-05, 0.0002833230121575032, 0.0002763429333333333, 0.00015454763200870985, 2.9729631645799312e-06
24, 1280, 0.0003086216657593903, 1.3884340410088912e-05, 3.809998185447287e-05, 0.0003606059880239521, 0.0003320485333333334, 0.0001931845400108873, 4.6452549446561425e-06
24, 1536, 0.0003614229722373435, 1.4741927054980947e-05, 4.941208492106696e-05, 0.0004255769842133914, 0.00038775413333333333, 0.00023182144801306475, 6.689167120304845e-06
24, 1792, 0.00042333641807294504, 2.2028415895481763e-05, 6.132734530938123e-05, 0.0005066921792778081, 0.0004434597333333334, 0.00027045835601524225, 9.104699691526038e-06
24, 2048, 0.00047766684812193793, 2.8349686082380695e-05, 7.525344220649609e-05, 0.0005812699764108148, 0.0004991653333333332, 0.0003090952640174197, 1.1891852658319725e-05
24, 2560, 0.0005950097985846488, 3.999422972237344e-05, 0.00010716997278170931, 0.0007421740010887315, 0.0006105765333333333, 0.0003863690800217746, 1.858101977862457e-05
24, 3072, 0.0007069482852476864, 5.551605879150789e-05, 0.0001427827472328071, 0.0009052470912720014, 0.0007219877333333333, 0.0004636428960261295, 2.675666848121938e-05
24, 3584, 0.0008197321720195972, 7.414217383414988e-05, 0.00018519029577209216, 0.0010790646416258393, 0.0008333989333333333, 0.0005409167120304845, 3.641879876610415e-05
24, 4096, 0.0009334567229178008, 9.572178551986934e-05, 0.00022954117945926328, 0.0012587196878969334, 0.0009448101333333332, 0.0006181905280348394, 4.75674106332789e-05
24, 4608, 0.0010494915623298856, 0.00012282538922155688, 0.00028149690437307204, 0.0014538138559245146, 0.0010562213333333334, 0.0006954643440391944, 6.02025040827436e-05
48, 512, 7.879041916167665e-05, 1.7286759813705922e-06, 1.0184177100344765e-05, 9.0703272243392e-05, 0.00016493173333333335, 3.863690800217746e-05, 4.266666666666667e-07
48, 1024, 0.00014608818726183996, 3.6111486118671744e-06, 2.2055888223552897e-05, 0.00017175522409726003, 0.0002763429333333333, 7.727381600435492e-05, 1.4864815822899656e-06
48, 1280, 0.0001803102885138813, 7.729546966672714e-06, 2.924870985302123e-05, 0.00021728854533357525, 0.0003320485333333334, 9.659227000544365e-05, 2.3226274723280712e-06
48, 1536, 0.00020806641262928688, 9.69423335147886e-06, 3.701197604790419e-05, 0.0002547726220286699, 0.00038775413333333333, 0.00011591072400653237, 3.3445835601524225e-06
48, 1792, 0.0002452465977136636, 1.1951043367809835e-05, 4.480795499909272e-05, 0.00030200559608056614, 0.0004434597333333334, 0.00013522917800762112, 4.552349845763019e-06
48, 2048, 0.000279339684267828, 1.6397636242666183e-05, 5.3780802032299044e-05, 0.0003495181225427932, 0.0004991653333333332, 0.00015454763200870985, 5.9459263291598624e-06
48, 2560, 0.0003478824169842134, 2.5953801487933222e-05, 7.38190890945382e-05, 0.00044765530756668483, 0.0006105765333333333, 0.0001931845400108873, 9.290509889312285e-06
48, 3072, 0.0004103255307566685, 3.4430230448194524e-05, 9.524877517691889e-05, 0.0005400045363817819, 0.0007219877333333333, 0.00023182144801306475, 1.337833424060969e-05
48, 3584, 0.00047801796407185627, 4.2258605213814795e-05, 0.00012105516240246779, 0.0006413317316881389, 0.0008333989333333333, 0.00027045835601524225, 1.8209399383052076e-05
48, 4096, 0.0005427958628198149, 5.094191979677009e-05, 0.00014730461259299585, 0.0007410423952095809, 0.0009448101333333332, 0.0003090952640174197, 2.378370531663945e-05
48, 4608, 0.0006106973326075122, 6.018784975503538e-05, 0.0001772699546361822, 0.0008481551369987298, 0.0010562213333333334, 0.0003477321720195972, 3.01012520413718e-05
96, 512, 5.1557974959172566e-05, 9.782253674469242e-07, 9.367018689892941e-06, 6.190321901651243e-05, 0.00016493173333333335, 1.930103429504627e-05, 2.1333333333333334e-07
96, 1024, 9.583505715841044e-05, 2.8715296679368537e-06, 1.9100889130829252e-05, 0.00011780747595717655, 0.0002763429333333333, 3.860206859009254e-05, 7.432407911449828e-07
96, 1280, 0.00011797876973326075, 4.466521502449646e-06, 2.4899829432045e-05, 0.00014734512066775542, 0.0003320485333333334, 4.8252585737615676e-05, 1.1613137361640356e-06
96, 1536, 0.00013711976047904193, 5.565596080566141e-06, 3.0821745599709674e-05, 0.00017350710215931775, 0.00038775413333333333, 5.790310288513881e-05, 1.6722917800762113e-06
96, 1792, 0.00016014044637996735, 6.8568317909635276e-06, 3.6432284521865364e-05, 0.00020342956269279623, 0.0004434597333333334, 6.755362003266195e-05, 2.2761749228815095e-06
96, 2048, 0.00018326619488296135, 9.300489929232443e-06, 4.315768463073853e-05, 0.00023572436944293234, 0.0004991653333333332, 7.720413718018509e-05, 2.9729631645799312e-06
96, 2560, 0.0002267724550898204, 1.498258029395754e-05, 5.7296614044638e-05, 0.00029905164942841593, 0.0006105765333333333, 9.650517147523135e-05, 4.6452549446561425e-06
96, 3072, 0.00025478769733260754, 1.990473598258029e-05, 7.184158954817637e-05, 0.0003465340228633642, 0.0007219877333333333, 0.00011580620577027762, 6.689167120304845e-06
96, 3584, 0.00030978443113772455, 2.6407185628742517e-05, 8.875346761023407e-05, 0.00042494508437670113, 0.0008333989333333333, 0.0001351072400653239, 9.104699691526038e-06
96, 4096, 0.00035312139357648344, 3.30952640174197e-05, 0.00010570459081836327, 0.0004919212484122664, 0.0009448101333333332, 0.00015440827436037017, 1.1891852658319725e-05
96, 4608, 0.00039607022318998363, 4.333260751224823e-05, 0.0001246066702957721, 0.000564009500998004, 0.0010562213333333334, 0.00017370930865541644, 1.50506260206859e-05
