device_count, prefill_len, fc_latency, attn_latency, other_latency, total_latency, allreduce_latency, fc_roofline, attn_roofline
24, 512, 0.00012417746325530757, 2.193104699691526e-06, 1.0754762293594628e-05, 0.0001371253302485937, 0.00016493173333333335, 5.619913891225813e-05, 8.533333333333334e-07
24, 1024, 0.00022265323897659224, 7.295068045726728e-06, 2.5707195608782433e-05, 0.00025565550263110143, 0.0002763429333333333, 0.00011239827782451626, 2.8444444444444446e-06
24, 1280, 0.0002753146434403919, 1.3884340410088912e-05, 3.5009215205951736e-05, 0.00032420819905643256, 0.0003320485333333334, 0.00014049784728064534, 4.266666666666667e-06
24, 1536, 0.0003207103973870441, 1.4741927054980947e-05, 4.470208945744874e-05, 0.0003801544138994738, 0.00038775413333333333, 0.0001685974167367744, 5.9733333333333335e-06
24, 1792, 0.00037020195971692975, 2.2028415895481763e-05, 5.624145254944656e-05, 0.0004484718281618581, 0.0004434597333333334, 0.00019669698619290347, 7.964444444444445e-06
24, 2048, 0.0004177876973326075, 2.7888608238069317e-05, 6.804755489021957e-05, 0.0005137238604608964, 0.0004991653333333332, 0.00022479655564903252, 1.024e-05
24, 3072, 0.0006138029395753946, 5.551605879150789e-05, 0.00012754789148974776, 0.0007968668898566503, 0.0007219877333333333, 0.0003371948334735488, 2.2186666666666665e-05
24, 3584, 0.0007131573217201961, 7.414217383414988e-05, 0.00016359123389584468, 0.0009508907294501907, 0.0008333989333333333, 0.00039339397238580693, 2.9866666666666666e-05
24, 4096, 0.0008086096897114861, 9.572178551986934e-05, 0.00020434987298131012, 0.0011086813482126655, 0.0009448101333333332, 0.00044959311129806503, 3.868444444444445e-05
24, 4608, 0.0009114218835057158, 0.00012282538922155688, 0.00025000889312284523, 0.001284256165850118, 0.0010562213333333334, 0.0005057922502103232, 4.864e-05
32, 256, 5.0546543277082196e-05, 9.362801669388496e-07, 4.9952622028669934e-06, 5.6478085646888036e-05, 0.00010922613333333332, 2.1081011530657692e-05, 2.1333333333333334e-07
32, 320, 6.20669569951007e-05, 1.2524526704167422e-06, 6.176881691163128e-06, 6.949629135668058e-05, 0.00012315253333333332, 2.6351264413322115e-05, 3e-07
32, 384, 7.203102885138813e-05, 1.8007040464525494e-06, 7.393818726183996e-06, 8.122555162402467e-05, 0.0001370789333333333, 3.162151729598654e-05, 4e-07
32, 448, 8.257593903102884e-05, 2.109069134458356e-06, 8.683222645617855e-06, 9.336823081110506e-05, 0.00015100533333333333, 3.689177017865096e-05, 5.133333333333333e-07
32, 512, 8.952041371801851e-05, 2.4040041129861487e-06, 9.99161313736164e-06, 0.0001019160309683663, 0.00016493173333333335, 4.2162023061315384e-05, 6.4e-07
32, 640, 0.00011176374523679913, 3.430750619972177e-06, 1.2760949011068772e-05, 0.00012795544486784007, 0.00019278453333333332, 5.270252882664423e-05, 9.333333333333334e-07
32, 768, 0.00013033696243875884, 4.800188713482126e-06, 1.6544372164761387e-05, 0.00015168152331700236, 0.00022063733333333336, 6.324303459197308e-05, 1.28e-06
32, 896, 0.00015310615133369625, 6.004683965402528e-06, 1.9736614044637998e-05, 0.00017884744934373677, 0.0002484901333333333, 7.378354035730192e-05, 1.68e-06
32, 1024, 0.00016949646162221012, 6.823223855319664e-06, 2.3125916349119942e-05, 0.0001994456018266497, 0.0002763429333333333, 8.432404612263077e-05, 2.1333333333333334e-06
32, 1280, 0.00021072781709308657, 1.0853880118550777e-05, 3.126277989475594e-05, 0.0002528444771063933, 0.0003320485333333334, 0.00010540505765328846, 3.2e-06
32, 1536, 0.0002474137180185084, 1.4503480312103069e-05, 3.924552168390492e-05, 0.0003011627200145164, 0.00038775413333333333, 0.00012648606918394615, 4.48e-06
32, 1792, 0.0002884126292868808, 1.8904305328736467e-05, 4.8963701687534024e-05, 0.0003562806363031513, 0.0004434597333333334, 0.00014756708071460384, 5.973333333333334e-06
32, 2048, 0.00032598475775721285, 2.3695984999697572e-05, 5.865854019234259e-05, 0.000408339282949253, 0.0004991653333333332, 0.00016864809224526153, 7.680000000000001e-06
32, 2560, 0.0004019635274904736, 3.644918647553378e-05, 8.124085646888042e-05, 0.0005196535704348878, 0.0006105765333333333, 0.00021081011530657692, 1.1733333333333333e-05
32, 3072, 0.00047874741426238434, 5.11196443476683e-05, 0.00010744102794411179, 0.0006373080865541644, 0.0007219877333333333, 0.0002529721383678923, 1.664e-05
32, 3584, 0.0005540021774632553, 6.919293292203472e-05, 0.00013646366993286154, 0.0007596587803181515, 0.0008333989333333333, 0.0002951341614292077, 2.24e-05
