device_count, batch, seq_len, q_mul_k_latency, a_mul_v_latency, other_latency, allreduce_latency, a_mul_k_roofline, k_mul_v_roofline
16, 1, 32, 1.9032118055555553e-09, 1.9032118055555558e-09, 2.856039399818131e-07, 5.36656e-05, 1.8648781981491562e-09, 1.8648781981491562e-09
16, 1, 64, 3.6948784722222223e-09, 3.6948784722222223e-09, 2.864382104373691e-07, 5.36656e-05, 3.620457947740882e-09, 3.620457947740882e-09
16, 1, 128, 7.2782118055555555e-09, 7.2782118055555555e-09, 2.910195857394159e-07, 5.36656e-05, 7.1316174469243335e-09, 7.1316174469243335e-09
16, 1, 256, 1.4444878472222222e-08, 1.4444878472222222e-08, 2.9807448778920923e-07, 5.36656e-05, 1.4153936445291236e-08, 1.4153936445291236e-08
16, 1, 512, 2.8778211805555553e-08, 2.8778211805555553e-08, 3.110807785975935e-07, 5.36656e-05, 2.819857444202504e-08, 2.819857444202504e-08
16, 1, 1024, 5.744487847222222e-08, 5.744487847222222e-08, 3.3704036529214294e-07, 5.36656e-05, 5.628785043549265e-08, 5.628785043549265e-08
16, 1, 2048, 1.1477821180555555e-07, 1.1477821180555555e-07, 3.880406374750499e-07, 5.36656e-05, 1.1246640242242788e-07, 1.1246640242242788e-07
16, 1, 4096, 2.2944487847222223e-07, 2.2944487847222223e-07, 4.900411818408636e-07, 5.36656e-05, 2.2482350639629832e-07, 2.2482350639629832e-07
16, 1, 8192, 4.5877821180555555e-07, 4.5877821180555555e-07, 6.929535389448376e-07, 5.36656e-05, 4.495377143440392e-07, 4.495377143440392e-07
16, 1, 16384, 9.174448784722222e-07, 9.174448784722222e-07, 1.0998669847804391e-06, 5.36656e-05, 8.98966130239521e-07, 8.98966130239521e-07
16, 1, 32768, 1.8347782118055555e-06, 1.8347782118055555e-06, 1.9126051448239883e-06, 5.36656e-05, 1.7978229620304845e-06, 1.7978229620304845e-06
16, 1, 65536, 3.669444878472222e-06, 3.669444878472222e-06, 3.5380814649110866e-06, 5.36656e-05, 3.5955366256124115e-06, 3.5955366256124115e-06
32, 1, 32, 9.516059027777777e-10, 9.516059027777777e-10, 2.856039399818131e-07, 5.36656e-05, 9.324390990745781e-10, 9.324390990745781e-10
